class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,class_name
001,White,2290.6427000000003,3289,0.6964556704165401,-0.0010717016104535558,Chemicals
001,Black,372.0773,3289,0.11312778960170264,-0.004640081194486802,Chemicals
001,API,259.2052,3289,0.07880972940103374,0.022489469944524394,Chemicals
001,AIAN,21.8861,3289,0.006654332623897841,0.013428226208593724,Chemicals
001,2+races,57.7016,3289,0.0175438127090301,0.0017723474083868004,Chemicals
001,Hispanic,275.3496,3289,0.08371833384007298,0.00797487344028871,Chemicals
002,White,683.7314,989,0.6913360970677452,0.009721180168728171,Paints
002,Black,104.0113,989,0.10516814964610718,0.016718268928353697,Paints
002,API,86.3988,989,0.087359757330637,0.03336619079075249,Paints
002,2+races,18.1282,989,0.018329828109201213,0.0123200299173824,Paints
002,Hispanic,87.6499,989,0.08862477249747219,0.031987632942575284,Paints
003,White,18511.603300000002,29388,0.6299034742071594,0.04546747686906485,Cosmetics & Cleaning
003,Black,4296.3688,29388,0.14619466448890706,0.0494303408360746,Cosmetics & Cleaning
003,API,2463.9543,29388,0.08384219069007758,0.07135891512309922,Cosmetics & Cleaning
003,AIAN,203.3626,29388,0.006919919695113652,0.0486886480708097,Cosmetics & Cleaning
003,2+races,569.9567999999999,29388,0.019394201714985706,0.04952141752008901,Cosmetics & Cleaning
003,Hispanic,3238.0512000000003,29388,0.11018276847692937,0.05913689756900019,Cosmetics & Cleaning
004,White,1247.7068,1856,0.6722558189655172,0.08378806153876857,Oils & Fuels
004,Black,263.9658,1856,0.1422229525862069,0.09233698197956534,Oils & Fuels
004,API,111.38900000000001,1856,0.060015625,0.02730765741585608,Oils & Fuels
004,AIAN,11.6723,1856,0.006288954741379311,0.09798339620081271,Oils & Fuels
004,2+races,34.5888,1856,0.018636206896551724,0.08189258697125086,Oils & Fuels
004,Hispanic,180.687,1856,0.09735290948275863,0.08430887561086634,Oils & Fuels
005,White,10078.844299999999,15189,0.6635620712357626,0.06265307108966027,Pharmaceuticals
005,Black,1638.6263,15189,0.10788243465665942,0.06917769910463474,Pharmaceuticals
005,API,1558.6325000000002,15189,0.10261587332938311,0.09008479715303395,Pharmaceuticals
005,AIAN,88.7798,15189,0.005845006254526302,0.061719401514081736,Pharmaceuticals
005,2+races,283.9018,15189,0.018691276581736783,0.07587721441805645,Pharmaceuticals
005,Hispanic,1479.1682,15189,0.09738417275660018,0.08828331009520056,Pharmaceuticals
006,White,2934.8966,4007,0.732442375842276,0.03003849319566211,Common Metals
006,Black,430.48969999999997,4007,0.10743441477414524,0.03468953088521414,Common Metals
006,API,221.3028,4007,0.05522904916396306,0.06697303534014663,Common Metals
006,AIAN,27.628800000000002,4007,0.006895133516346394,0.03491557157009801,Common Metals
006,2+races,68.7313,4007,0.017152807586723235,0.03051916465289197,Common Metals
006,Hispanic,308.2789,4007,0.07693508859495883,0.04460252569317832,Common Metals
007,White,2852.1492,4032,0.7073782738095238,0.013344906214402144,Machines
007,Black,433.4221,4032,0.10749556051587301,0.021653295877775515,Machines
007,API,338.43309999999997,4032,0.08393678075396825,0.06692118382152454,Machines
007,AIAN,27.3326,4032,0.006778918650793651,0.01747932549366144,Machines
007,2+races,69.54419999999999,4032,0.017248065476190472,0.02681929160350699,Machines
007,Hispanic,294.9065,4032,0.07314149305555555,0.018445039421893947,Machines
008,White,2639.1090000000004,3830,0.6890624020887729,0.05901697661154011,Hand Tools
008,Black,419.6258,3830,0.10956287206266319,0.06778805460885669,Hand Tools
008,API,346.8257,3830,0.09055501305483028,0.08460263175263184,Hand Tools
008,AIAN,26.8791,3830,0.007018041775456919,0.062089345298273646,Hand Tools
008,2+races,70.2934,3830,0.0183533681462141,0.06580703467449697,Hand Tools
008,Hispanic,311.21860000000004,3830,0.08125812010443866,0.06725900560313357,Hand Tools
009,White,51480.8984,74546,0.6905923644461138,0.016840722186595766,Electronics & Software
009,Black,9366.906600000002,74546,0.12565270571190945,0.012392084106043545,Electronics & Software
009,API,5129.1694,74546,0.06880542752126204,0.02777442834613186,Electronics & Software
009,AIAN,465.6836,74546,0.006246929412711615,0.014486043484901555,Electronics & Software
009,2+races,1370.3975,74546,0.01838324658600059,0.016479316190524073,Electronics & Software
