cls,class_name,year,n_filings,n_unique_owners,top10_count,top10_share,hhi
001,Chemicals & Industrial,1985,1716,1165,149,0.08682983682983683,21.65278389054613
001,Chemicals & Industrial,1986,1739,1220,84,0.048303622771707876,13.018658975616384
001,Chemicals & Industrial,1987,1795,1241,105,0.0584958217270195,14.590203365895674
001,Chemicals & Industrial,1988,1947,1344,112,0.05752439650744735,13.086916275655144
001,Chemicals & Industrial,1989,2279,1516,107,0.04695041684949539,11.057327322881083
001,Chemicals & Industrial,1990,2855,1960,128,0.04483362521891419,9.192708892439905
001,Chemicals & Industrial,1991,2653,1795,113,0.042593290614398795,9.469469591778484
001,Chemicals & Industrial,1992,2554,1695,118,0.04620203602192639,10.605686168578595
001,Chemicals & Industrial,1993,2785,1823,123,0.04416517055655296,9.957163439688768
001,Chemicals & Industrial,1994,2752,1871,136,0.04941860465116279,11.041124425365064
001,Chemicals & Industrial,1995,3094,2003,211,0.06819650937297995,15.289095102015743
001,Chemicals & Industrial,1996,2982,2003,132,0.04426559356136821,9.084239395685534
001,Chemicals & Industrial,1997,3431,2210,140,0.040804430195278345,8.51274503449399
001,Chemicals & Industrial,1998,3713,2402,167,0.04497710746027471,8.53959443563421
001,Chemicals & Industrial,1999,3972,2609,172,0.0433031218529708,7.616254364641108
001,Chemicals & Industrial,2000,4032,2597,200,0.0496031746031746,8.54153872197027
001,Chemicals & Industrial,2001,4115,2522,189,0.04592952612393682,8.573086343564206
001,Chemicals & Industrial,2002,3855,2490,125,0.0324254215304799,7.145536731147413
001,Chemicals & Industrial,2003,3934,2546,142,0.03609557702084393,7.328598540896836
001,Chemicals & Industrial,2004,4196,2658,210,0.05004766444232602,8.45600830969801
001,Chemicals & Industrial,2005,4263,2713,180,0.0422237860661506,7.809865191921123
001,Chemicals & Industrial,2006,4502,2810,160,0.03553976010661928,6.717977754494226
001,Chemicals & Industrial,2007,4810,2965,170,0.035343035343035345,6.591430707854825
001,Chemicals & Industrial,2008,4947,3020,275,0.05558924600768142,10.834473476256855
001,Chemicals & Industrial,2009,4412,2801,173,0.03921124206708976,7.067800747816266
001,Chemicals & Industrial,2010,4821,3031,232,0.04812279610039411,7.4025340545608715
001,Chemicals & Industrial,2011,5120,3131,196,0.03828125,6.745147705078127
001,Chemicals & Industrial,2012,5170,3198,191,0.03694390715667312,6.640752144682348
001,Chemicals & Industrial,2013,5177,3276,177,0.03418968514583736,5.863515201055887
001,Chemicals & Industrial,2014,5778,3547,213,0.03686396677050883,6.238077830938927
