bucket,n,survival_rate,p_public,median_total_filings,median_T_filings
1-10,10,0.3,0.0,9.0,2.5
11-50,40,0.6,0.0,6.0,2.0
51-200,150,0.5866666666666667,0.05333333333333334,4.5,1.0
201-1k,800,0.53625,0.03125,4.0,2.0
1k-5k,4000,0.64575,0.0225,3.0,1.0
5k+,120294,0.38567177082813775,0.014871897185229521,3.0,2.0
