brand,story,launch_year,filing_date,serial_number,mark_identification,nice_classes,dkl,prospective_kl,retrospective_kl,goods_services
GEFORCE,GeForce 256 launched Oct 1999,1999,20020207,76367977,GEFORCE,009,-0.017361845421766553,6.134047813998432,6.151409659420199,"Computer hardware, namely, integrated circuits, semiconductors and chipsets"
CUDA,CUDA released Jun 2007,2007,20070207,77101937,CUDA,009,-0.06603859295724934,4.695035185680746,4.7610737786379955,"Computer software, namely, graphics processing unit software; computer software development programs; computer software development tools for programming graphics processing units"
TEGRA,Tegra SoC announced 2008,2008,20080408,77443341,TEGRA,009,0.4176508183111789,4.816963638410753,4.399312820099574,"Integrated circuits for use in handheld and mobile devices, namely, mobile phones, MP3 players, portable navigation devices featuring a global positioning system, personal digital assistants (PDAs), netbooks for use in wireless communicatio"
G-SYNC,G-Sync introduced Oct 2013,2013,20131112,86116962,G-SYNC,"009,028",0.08444491619455485,4.725566471901191,4.641121555706636,"[ Apparatus for playing electronic computer games other than those adapted for use with an external display screen or monitor ] Computer hardware with specialized features for enhancing computer game playing ability, and enhanced graphical "
DGX,DGX-1 announced Apr 2016,2016,20170307,87362304,DGX,"009,042",0.46148477265968535,3.6144223632428893,3.1529375905832038,Advanced product research in the field of artificial intelligence; consulting services in the fields of gaming technology and computer graphics software; providing temporary use of non-downloadable computer software for graphics processing;
RTX,GeForce RTX 20 series Aug 2018,2018,20180321,87843476,NVIDIA RTX,009,0.27681934184412427,4.10586129015577,3.8290419483116453,"Software for ray tracing and image rendering, modeling, and image manipulation and processing; software for use as an application programming interface (API) for ray tracing and image rendering, modeling, and image manipulation and processi"
JETSON,Jetson AGX Xavier announced Jun 2018,2018,20180603,87946233,JETSON,009,0.15264292202269836,3.9899687185803425,3.837325796557644,"Self-driving and autonomous land vehicle electronic computing platform consisting of software for artificial intelligence, machine learning, deep learning, natural language generation, statistical learning, supervised learning, un-supervise"
OMNIVERSE,Omniverse public beta Dec 2020,2020,20190325,88354860,NVIDIA OMNIVERSE,"009,042",0.05992212559226262,2.536163145709992,2.4762410201177296,"downloadable application programming interface (API) for computer software for ray tracing and image rendering, modeling, and image manipulation and processing; downloadable application programming interface (API) software for use in buildi"
