class_id,class_name,n_early,n_late,black_share_early,black_share_late,n_black_early,n_black_late,delta_share,delta_n
025,Clothing & Footwear,12572,54717,0.1271902879414572,0.18970919275545078,1599.0363,10380.3179,0.06251890481399358,8781.2816
041,Education & Entertainment,11383,40170,0.11980470877624529,0.16878458551157582,1363.737,6780.076800000001,0.04897987673533054,5416.339800000001
035,Advertising & Retail,7240,25955,0.10945796961325967,0.16162682720092472,792.4757,4195.024300000001,0.052168857587665055,3402.548600000001
003,Cosmetics & Cleaning,2679,11846,0.10943490108249347,0.18171217288536212,293.1761,2152.5624,0.07227727180286865,1859.3862999999997
009,Electronics & Software,10998,15529,0.10871219312602291,0.14222012363964198,1195.6167,2208.5363,0.03350793051361907,1012.9196000000002
036,Insurance & Financial,2594,7179,0.14795123361603701,0.15729675442262153,383.7855,1129.2334,0.009345520806584517,745.4479000000001
030,Coffee/Tea/Sugar,2447,6477,0.11151732733959951,0.13556428902269568,272.8829,878.0499,0.02404696168309617,605.1669999999999
021,Household Utensils,1708,5713,0.10974537470725995,0.12115550498862243,187.4451,692.1614,0.01141013028136248,504.71629999999993
005,Pharmaceuticals,1670,4661,0.10076485029940122,0.12021540441965242,168.27730000000003,560.324,0.019450554120251207,392.04669999999993
040,Materials Treatment,351,2545,0.09761424501424501,0.16385760314341846,34.2626,417.0176,0.06624335812917345,382.755
037,Construction & Repair,1255,4251,0.11563529880478088,0.1233501764290755,145.1223,524.3616,0.007714877624294625,379.23929999999996
018,Leather,1081,3160,0.10685596669750232,0.1429565189873418,115.5113,451.74260000000004,0.03610055228983948,336.23130000000003
039,Transport & Travel,750,2184,0.11507506666666666,0.16294239926739926,86.3063,355.8662,0.0478673326007326,269.55989999999997
014,Jewelry,1801,3590,0.10312054414214325,0.12403963788300836,185.7201,445.3023,0.020919093740865105,259.5822
004,Oils & Fuels,250,1560,0.09946279999999999,0.17796102564102562,24.865699999999997,277.6192,0.07849822564102563,252.75349999999997
016,Paper/Print,11222,10389,0.11517254500089111,0.14795199730484165,1292.4663,1537.0733,0.032779452303950546,244.60699999999997
033,Alcoholic Beverages,406,2404,0.10128325123152708,0.11396189683860236,41.120999999999995,273.96440000000007,0.012678645607075281,232.8434000000001
026,Lace/Embroidery,329,1233,0.11162340425531915,0.19271200324412002,36.7241,237.6139,0.08108859898880087,200.8898
024,Fabrics,598,1698,0.12702892976588628,0.15278957597173146,75.9633,259.43670000000003,0.025760646205845172,183.47340000000003
032,Beverages (Non-Alcoholic),794,1930,0.1071823677581864,0.12978005181347152,85.1028,250.4755,0.022597684055285117,165.3727
010,Surgical/Medical/Dental,1294,2385,0.10520904173106646,0.1165835639412998,136.1405,278.0518,0.011374522210233343,141.9113
034,Tobacco,295,1043,0.07570677966101695,0.14455071907957812,22.3335,150.76639999999998,0.06884393941856116,128.43289999999996
029,Meat/Fish/Dairy,1133,1916,0.10782506619593997,0.12262359081419624,122.16579999999999,234.9468,0.014798524618256273,112.781
031,Agricultural Products,791,1620,0.1218353982300885,0.12357395061728395,96.37180000000001,200.1898,0.0017385523871954467,103.81799999999998
038,Telecommunications,899,1214,0.11924849833147944,0.160831960461285,107.2044,195.25,0.04158346212980557,88.0456
011,Lighting/Heating,865,1626,0.10783317919075144,0.1045809348093481,93.2757,170.04860000000002,-0.003252244381403341,76.77290000000002
008,Hand Tools,739,1198,0.10365182679296348,0.11140459098497495,76.59870000000001,133.46269999999998,0.0077527641920114715,56.863999999999976
028,Toys & Sports,6441,6734,0.11155918335662164,0.11493561033561034,718.5527,773.9764,0.0033764269789886975,55.42370000000005
020,Furniture,2374,2700,0.10597691659646168,0.10939355555555558,251.5892,295.36260000000004,0.003416638959093901,43.77340000000004
007,Machines,742,987,0.11216913746630729,0.11904224924012159,83.2295,117.49470000000001,0.0068731117738143055,34.26520000000001
012,Vehicles,1274,1495,0.11433335949764523,0.10582387959866221,145.66070000000002,158.2067,-0.008509479898983013,12.545999999999992
015,Musical Instruments,321,417,0.11556884735202493,0.11830695443645085,37.0976,49.334,0.002738107084425928,12.236400000000003
022,Ropes/Nets/Textiles,255,329,0.11512862745098042,0.1196142857142857,29.357800000000005,39.3531,0.004485658263305284,9.995299999999993
001,Chemicals,600,675,0.12084450000000002,0.122088,72.50670000000001,82.4094,0.0012434999999999807,9.902699999999996
006,Common Metals,788,949,0.1143774111675127,0.10449315068493152,90.1294,99.16400000000002,-0.009884260482581175,9.034600000000012
017,Rubber/Plastic,211,265,0.10515829383886256,0.10969396226415094,22.1884,29.0689,0.0045356684252883805,6.880499999999998
019,Building Materials,518,538,0.11099671814671816,0.09378791821561337,57.496300000000005,50.457899999999995,-0.017208799931104787,-7.03840000000001
042,Scientific & Tech Services,11955,6290,0.10584297783354246,0.1332422893481717,1265.3528000000001,838.0939999999999,0.027399311514629238,-427.2588000000002
