outcome,axis,bin,n,rate,mid,lo,hi
reached_registration,$\Delta$KL,0,74732,0.5361023390247819,-0.6775974408081977,0.5325250670461306,0.5396758995112594
reached_registration,$\Delta$KL,1,74731,0.5167601129384057,-0.3335974136243437,0.5131764692489013,0.520342033585525
reached_registration,$\Delta$KL,2,74730,0.5011240465676435,-0.24842406540038758,0.49753917728257985,0.504708800292281
reached_registration,$\Delta$KL,3,74730,0.4817877693028235,-0.19551660171371898,0.47820626364862334,0.4853711473110725
reached_registration,$\Delta$KL,4,74731,0.47741900951412397,-0.15579374909088878,0.47383903112839093,0.4810013093641485
reached_registration,$\Delta$KL,5,74731,0.46522861998367476,-0.12298737654556817,0.4616542892075524,0.46880652547088525
reached_registration,$\Delta$KL,6,74730,0.4604308845175967,-0.09409226345624223,0.45685934062202166,0.4640064964153187
reached_registration,$\Delta$KL,7,74732,0.45601616442755444,-0.06782001521943605,0.4524475489692601,0.4595893016333561
reached_registration,$\Delta$KL,8,74737,0.45296171909495964,-0.04331546764430169,0.44939538136464535,0.45653289226078825
reached_registration,$\Delta$KL,9,74724,0.4465499705583213,-0.019212418198805467,0.44298829544432045,0.4501171411778448
reached_registration,$\Delta$KL,10,74730,0.4440519202462197,0.00474640142403932,0.4404924874774168,0.447617104897666
reached_registration,$\Delta$KL,11,74734,0.4516284422083657,0.029261403399648726,0.44806301762457224,0.45519883948530726
reached_registration,$\Delta$KL,12,74728,0.45320361845626805,0.055146061414869926,0.449636890239557,0.4567751578210919
reached_registration,$\Delta$KL,13,74730,0.4580355948079754,0.08336623243224417,0.4544655788534482,0.461609925018415
reached_registration,$\Delta$KL,14,74731,0.46518847600058877,0.11506190593862986,0.4616141673626909,0.4687663634766225
reached_registration,$\Delta$KL,15,74731,0.4739933896241185,0.1526805061499732,0.47041478200848047,0.4775746708787791
reached_registration,$\Delta$KL,16,74730,0.490686471296668,0.2005299062759556,0.48710275141358444,0.49427114868042604
reached_registration,$\Delta$KL,17,74731,0.5053592217419812,0.2681160971600747,0.5017743555971909,0.5089435369259131
reached_registration,$\Delta$KL,18,74731,0.5213499083379053,0.3887556345154741,0.5177672836643997,0.5249303381099134
reached_registration,$\Delta$KL,19,74731,0.521898542773414,1.1564160079085308,0.5183160601661643,0.5254787740761819
reached_registration,Prospective KL,0,74731,0.38209043101256507,3.104043572291756,0.3786127922304799,0.3855801916213785
reached_registration,Prospective KL,1,74732,0.4196060589841032,3.7070564855757517,0.4160720579435036,0.42314832490423554
reached_registration,Prospective KL,2,74730,0.43843168740800215,4.019409028167498,0.43487731174036715,0.4419923927604116
reached_registration,Prospective KL,3,74730,0.44454703599625317,4.257206303742735,0.4409871798686068,0.44811259310492657
reached_registration,Prospective KL,4,74731,0.4493048400262274,4.455626005406314,0.445741121829809,0.45287376999596024
reached_registration,Prospective KL,5,74731,0.448287859121382,4.632633239933037,0.4447249437953015,0.4518560907726503
reached_registration,Prospective KL,6,74730,0.4524153619697578,4.796170399006318,0.4488492577263202,0.4559863582712389
reached_registration,Prospective KL,7,74732,0.45470481186105016,4.95307181728292,0.4511371065156855,0.45827717376720345
reached_registration,Prospective KL,8,74730,0.4638431687408002,5.107594283150868,0.46026959156685265,0.4674204631084581
reached_registration,Prospective KL,9,74731,0.47074172699415234,5.261369073899469,0.4671645768320582,0.4743218850861269
reached_registration,Prospective KL,10,74730,0.46947678308577545,5.416014946567268,0.4659002171378905,0.47305648704952025
reached_registration,Prospective KL,11,74731,0.4793593020299474,5.574750389893305,0.47577862211308297,0.48294210393713455
reached_registration,Prospective KL,12,74738,0.48611148277984423,5.7397817781132385,0.48252895099852117,0.4896954422521796
reached_registration,Prospective KL,13,74723,0.4962862840089397,5.9165689239530055,0.49270158534580266,0.499871364505727
reached_registration,Prospective KL,14,74731,0.5022413723889685,6.111384834434403,0.4986564966127071,0.5058260177384039
reached_registration,Prospective KL,15,74731,0.5199983942406765,6.333036738320278,0.5164154380594245,0.5235792944643679
reached_registration,Prospective KL,16,74730,0.5325839689549043,6.597566420781887,0.5290050932762281,0.5361594947569396
reached_registration,Prospective KL,17,74731,0.5455165861556783,6.929072278184658,0.5419443336924418,0.5490841592347445
reached_registration,Prospective KL,18,74731,0.5522607753141267,7.389421487119362,0.5486929266448316,0.5558232512552498
reached_registration,Prospective KL,19,74731,0.5719714710093535,8.388718325834855,0.5684203050579107,0.5755152378522385
reached_registration,Retrospective KL,0,74731,0.38324122519436377,3.105096607150437,0.37976153555744224,0.38673291834931495
reached_registration,Retrospective KL,1,74731,0.42271614189559886,3.6929022012466235,0.41917839709541954,0.4262618319503057
reached_registration,Retrospective KL,2,74731,0.4347860994767901,3.9987124540996475,0.4312352755249857,0.4383436278174682
reached_registration,Retrospective KL,3,74730,0.44572460859092733,4.236915649113414,0.44216375993956775,0.44929103716001034
reached_registration,Retrospective KL,4,74731,0.4495858479078294,4.434490766408392,0.4460219105218466,0.4531549681777932
reached_registration,Retrospective KL,5,74731,0.44942527197548543,4.609400843604301,0.44586145969988644,0.452994283643256
reached_registration,Retrospective KL,6,74730,0.4498461126722869,4.771305849327491,0.4462819494739491,0.4534154320667853
reached_registration,Retrospective KL,7,74732,0.4586522507092009,4.926866517830685,0.4550818811961423,0.4622268709675585
reached_registration,Retrospective KL,8,74730,0.46420446942325705,5.0790565533647705,0.46063068681723696,0.46778193207856467
reached_registration,Retrospective KL,9,74731,0.4632080395016794,5.2316084832294285,0.45963485192259723,0.46678500951991375
reached_registration,Retrospective KL,10,74730,0.4739863508631072,5.38856893498078,0.47040772230460504,0.47756765382004485
reached_registration,Retrospective KL,11,74731,0.4785698036959227,5.550594065385795,0.47498940269785866,0.4821524078495795
reached_registration,Retrospective KL,12,74731,0.48323988706159426,5.717250697942299,0.479657966414475,0.48682353075109874
reached_registration,Retrospective KL,13,74731,0.4946140156026281,5.894072801093359,0.49102970385615347,0.4981988810613263
reached_registration,Retrospective KL,14,74730,0.5005754047905794,6.0899269800887685,0.4969905570231938,0.5041601934020327
reached_registration,Retrospective KL,15,74731,0.5183524909341505,6.312347343402067,0.5147691664889056,0.5219339286307876
reached_registration,Retrospective KL,16,74730,0.5316472634818681,6.573821635530159,0.5280680037160328,0.5352232696714174
reached_registration,Retrospective KL,17,74731,0.5425191687519235,6.898587022275401,0.5389451711685951,0.5460887951039712
reached_registration,Retrospective KL,18,74731,0.5552849553732722,7.351204164637536,0.551719296566358,0.5588449305477596
reached_registration,Retrospective KL,19,74731,0.5795988277956939,8.332033030834847,0.5760556551049085,0.5831338172388718
