outcome,axis,bin,n,rate,mid,lo,hi
reached_registration,$\Delta KL$,0,503004,0.5481268538619971,-0.4756625679936003,0.5467511227393508,0.5495018498703709
reached_registration,$\Delta KL$,1,503005,0.5365533145793779,-0.271347069734519,0.5351749548664753,0.5379311159592985
reached_registration,$\Delta KL$,2,503002,0.5171072878437859,-0.2066501857400727,0.5157261841073459,0.5184881302736901
reached_registration,$\Delta KL$,3,503004,0.501662014616186,-0.164859325089672,0.5002802302071329,0.5030437736387746
reached_registration,$\Delta KL$,4,503005,0.4892396695857894,-0.1328914008913239,0.4878582938011436,0.49062120972891915
reached_registration,$\Delta KL$,5,503002,0.4769285211589616,-0.10647382909569714,0.47554838706474106,0.4783090076601953
reached_registration,$\Delta KL$,6,503004,0.46702014298097033,-0.0835313336946627,0.465641624603123,0.46839916511008445
reached_registration,$\Delta KL$,7,503003,0.4609157400651686,-0.06274000953859607,0.4595384858348975,0.46229359128967723
reached_registration,$\Delta KL$,8,503004,0.45576774737377834,-0.04326060039898804,0.45439172329692773,0.45714444707676277
reached_registration,$\Delta KL$,9,503004,0.45128269357698947,-0.024479226883301366,0.4499078608486497,0.45265827043847723
reached_registration,$\Delta KL$,10,503003,0.4488680982021976,-0.005745952527907844,0.44749395217385385,0.4502430252470114
reached_registration,$\Delta KL$,11,503004,0.44826880104333167,0.013494194598989631,0.44689483222586285,0.44964356002969036
reached_registration,$\Delta KL$,12,503003,0.4480211847643056,0.033742916585007686,0.4466472878258649,0.44939587565543265
reached_registration,$\Delta KL$,13,503004,0.45131450246916527,0.05565606780645347,0.4499396608947855,0.4526900876908277
reached_registration,$\Delta KL$,14,503006,0.45464070011093305,0.0802423367758151,0.453264967548018,0.4560171255123258
reached_registration,$\Delta KL$,15,503001,0.458128313860211,0.10899084749209338,0.45675170385523156,0.45950556343863447
reached_registration,$\Delta KL$,16,503004,0.46537999697815524,0.14491947280001694,0.46400179823290916,0.46675872452710016
reached_registration,$\Delta KL$,17,503003,0.47030335803166184,0.19481542374373886,0.4689242434030978,0.4716829262628822
reached_registration,$\Delta KL$,18,503004,0.4689763898497825,0.27730692406010277,0.4675975098069189,0.47035574376319395
reached_registration,$\Delta KL$,19,503004,0.4750021868613371,0.5628158024630469,0.4736223264158181,0.476382429136287
reached_registration,$KL_{\mathrm{pros}}$,0,503005,0.42289838073180186,2.626848255865179,0.42153371871207446,0.424264220438902
reached_registration,$KL_{\mathrm{pros}}$,1,503003,0.43186422347381626,3.2075954860448492,0.43049585293484327,0.43323363475568744
reached_registration,$KL_{\mathrm{pros}}$,2,503003,0.42991393689500856,3.517026753573196,0.4285463334460675,0.4312826108765855
reached_registration,$KL_{\mathrm{pros}}$,3,503004,0.44071021304005537,3.7633718999114443,0.43933863549855684,0.4420826962041972
reached_registration,$KL_{\mathrm{pros}}$,4,503005,0.44753431874434646,3.978893431758991,0.4461605695546737,0.44890886932017554
reached_registration,$KL_{\mathrm{pros}}$,5,503002,0.4544494852903169,4.176649225383121,0.45307379695836736,0.45582586938697867
reached_registration,$KL_{\mathrm{pros}}$,6,503004,0.46026472950513314,4.359149658603137,0.4588876238616873,0.46164244208549915
reached_registration,$KL_{\mathrm{pros}}$,7,503003,0.46501909531354685,4.532662405185713,0.46364096754126455,0.4663977574031875
