ethnic,in_enclave,n_owners,share_single_class,mean_n_classes,median_n_classes,mean_n_filings,mean_dkl,mean_dkl_std
AIAN,false,163,0.8466257668711656,1.2453987730061349,1.0,1.4110429447852761,-0.001303823516357526,0.07024384513730818
API,false,82596,0.7576880236331057,1.5136084071867888,1.0,2.0535498087074435,0.010978635150699545,0.11149531678524878
API,true,79464,0.7540899023457163,1.501585623678647,1.0,1.8953236685794825,0.07358368737466868,0.130550997167192
Black,false,24985,0.8120072043225935,1.322033219931959,1.0,1.677726635981589,0.01649668544764905,0.09550630019371247
Hispanic,false,83572,0.7963432728665103,1.324833676350931,1.0,1.6115325707174653,0.01794753347894097,0.09532365296357367
Hispanic,true,4880,0.9133196721311475,1.1348360655737706,1.0,1.5235655737704918,0.08617474108892884,0.10101307543999294
Mixed,false,412016,0.7960516096462273,1.361437419906023,1.0,1.773035513183954,0.023813705884129805,0.1024011455795235
White,false,702584,0.7906826799357799,1.3564314017967958,1.0,1.7085117224417294,0.015395505153634331,0.10513705020281446
