bucket,n,survival_rate,p_public,median_total_filings,median_T_filings
1-10,10,0.0,0.0,1.5,1.0
11-50,40,0.0,0.075,6.0,1.5
51-200,150,0.13333333333333333,0.02,3.0,1.0
201-1k,800,0.40875,0.06,4.0,2.0
1k-5k,4000,0.59175,0.037,4.0,2.0
5k+,71610,0.39278033794162825,0.01906158357771261,3.0,2.0
