year,n,mean_dkl,std_dkl,mean_abs_dkl,share_pos,class_id
1990,16013,0.48677398040331854,0.463175440489808,0.5090323551721267,0.9171298320114907,009
1991,15968,0.08003132445603314,0.22863282151531908,0.18796165528217737,0.6380260521042084,009
1992,16787,0.015259768975575025,0.2259620011794903,0.17611244397172002,0.5166497885268363,009
1993,20337,-0.014078071082533426,0.22280531159608752,0.17403250546475912,0.4637852190588582,009
1994,22401,-0.03597115984249609,0.21872278849256366,0.17079050651831743,0.42158832194991297,009
1995,26815,-0.051845001466489474,0.22838847279829985,0.17822438395968065,0.37355957486481445,009
1996,31648,-0.05212980662165897,0.22475581681192724,0.17807547261248166,0.3763902932254803,009
1997,31415,-0.06404626921313442,0.20772404717730322,0.17151404398589803,0.36205634251153906,009
1998,24993,-0.048545787614835446,0.2126963495863864,0.17018139087430958,0.38942904013123675,009
1999,30328,-0.033589186542642764,0.2056292707041658,0.15862289497388757,0.4231733051965181,009
2000,37483,-0.03944081218709389,0.17466760664038566,0.13734126069305094,0.3802257023183843,009
2001,28749,-0.022743203074158686,0.2829068434543339,0.20038312868045546,0.4084315976207868,009
2002,25629,-0.022097136103309302,0.2253880494395175,0.1740947824273128,0.446759530219673,009
2003,26270,-0.02390862232480326,0.20983089339873348,0.16100887989014795,0.42615150361629234,009
2004,29837,-0.023653812510053038,0.20067151486861592,0.15173988765243407,0.4162281730737004,009
2005,32990,-0.023229201346735978,0.1931190037608348,0.14415190278877452,0.4085480448620794,009
2006,34798,-0.016129482216777766,0.1935822230850346,0.14078219060854913,0.42243807115351456,009
2007,37520,-0.015821869896436896,0.1837727324355747,0.1327875186873823,0.42316098081023457,009
2008,35340,-0.0031853426820394656,0.1912612482296361,0.1342991233266181,0.45022637238256935,009
2009,32871,-0.0011895480516404692,0.21378676876129643,0.148206908106069,0.44139210854552646,009
2010,35728,-0.0015333496000668506,0.21900644646513814,0.1571774857613362,0.44989923869234216,009
2011,40103,0.0036966457333669563,0.22221267827315236,0.15909922446617666,0.47592449442685086,009
2012,42530,0.014091702382172895,0.1812496514140585,0.13542104904192223,0.5008699741359041,009
2013,44170,0.01082550098353141,0.17103192375615517,0.1260085320326165,0.5120443740095088,009
2014,48875,0.010116575272041175,0.1647188566680487,0.12138535496592189,0.5119181585677749,009
2015,54697,0.001237862185832743,0.14975721196609304,0.1099983980623618,0.48218366638024024,009
2016,56702,-0.0016470486131950556,0.1447189430123395,0.10508524893231928,0.45555712320553066,009
2017,63478,-0.017516147210033185,0.14765493547035285,0.10945246441864342,0.401666719178298,009
2018,63906,-0.01738067585531347,0.15928520035387722,0.11875119054998895,0.4183018808875536,009
2019,62093,-0.013713480699734052,0.15026630688848705,0.11621011140925044,0.4583930555779234,009
2020,75604,-0.02481095867202329,0.15268001461748273,0.11690195105536423,0.422980265594413,009
2021,80728,-0.06500476717233686,0.2172310896837894,0.1648975213279239,0.37371172331780794,009
2022,73358,-0.013787799780911254,0.1766844894939497,0.1238678995223702,0.45786417296000437,009
2023,65656,0.0037626282181586804,0.12308997563137605,0.0847000569790761,0.4592421103935665,009
2024,70473,0.011104978352796755,0.13046915356940933,0.09376315214354909,0.4676826586068423,009
1990,1964,0.586328172804328,0.5278937933214793,0.6182589154923123,0.9078411405295316,037
1991,1836,0.10421524796599035,0.29193139269393853,0.238394475060924,0.6367102396514162,037
1992,1705,0.013481555450528955,0.24164001335063975,0.18726047838289245,0.4961876832844575,037
1993,1906,-0.044316251750947604,0.24228251655082902,0.19038300849622214,0.4092339979013641,037
1994,2152,-0.06648646043847209,0.2467674264209938,0.19605129586794978,0.383364312267658,037
1995,2580,-0.09038606171984298,0.2710463409763059,0.21904405568882696,0.34767441860465115,037
1996,3332,-0.07669859477080022,0.23779393213739464,0.18801372678897796,0.3817527010804322,037
1997,3321,-0.07680403308385952,0.22167771984554097,0.1776024455030247,0.3860283047274917,037
1998,2994,-0.045740805439270296,0.19915324091498973,0.15566759141116385,0.42618570474281897,037
1999,3524,-0.07429554572080707,0.196448704721214,0.16080034019933762,0.362372304199773,037
2000,4308,-0.04856526518920369,0.17486828657297837,0.13975638901796178,0.38765088207985143,037
2001,3548,0.022642268279457076,0.21251444954201806,0.16795036033947397,0.5721533258173619,037
2002,3366,0.048402583752057686,0.20756039453513125,0.16907889615966373,0.6206179441473559,037
2003,3699,0.026971995511926895,0.18260861405370887,0.1458833136996508,0.5796161124628277,037
2004,4577,0.00016542188022510286,0.1806805712183659,0.1377421054750862,0.518461874590343,037
2005,5447,-0.03789172157356422,0.18029194509439775,0.1371216819094525,0.37598678171470534,037
2006,6301,-0.06196929444804178,0.19849442424717798,0.16189125422432205,0.37025868909696874,037
2007,7187,-0.0713588691946268,0.22589022413721166,0.17596959396086706,0.3710866842910811,037
2008,7045,-0.04826644472053553,0.20785213959190738,0.15350926026885667,0.41305890702625975,037
2009,6072,-0.0005152005860908727,0.18440549155591848,0.12694794040098697,0.5100461133069829,037
2010,6090,-0.012413185239095494,0.1504046925540923,0.10945473850696222,0.45566502463054187,037
2011,6553,-0.010828533442005848,0.13333999627070311,0.09651579625807015,0.45994201129253776,037
2012,6815,-0.0028680401402791916,0.12106601909810023,0.08885072457527138,0.4826118855465884,037
2013,6742,-0.004623089676253785,0.11704570225579844,0.08412248393444015,0.49169385938890536,037
2014,7311,-0.007899750732078254,0.12254495878346479,0.08524506196117164,0.47599507591300777,037
2015,8339,-0.006725324314995108,0.1275838898805879,0.08873694360928258,0.47103969300875403,037
2016,8415,-0.008862809806930026,0.11922024651715857,0.08788876401273962,0.46761734997029114,037
2017,9331,0.01173618484984124,0.11565371108485854,0.08282741096607198,0.5418497481513236,037
2018,9563,0.029789580552174802,0.11545395150044388,0.08675146646093697,0.6095367562480393,037
2019,9755,0.04999759423368016,0.11779023966846687,0.09611698346228408,0.6931829830855971,037
2020,11011,0.054198698413715406,0.12866287252550623,0.10120009170920174,0.6851330487694124,037
2021,11967,0.027742070837430577,0.12809936207693642,0.09106036781066697,0.5642182669006435,037
2022,12377,0.03701092389932553,0.11532242495140098,0.08747333926672318,0.6173547709461097,037
2023,12642,0.051542445604565446,0.12451065949592968,0.099276082808196,0.6576491061540896,037
2024,13893,0.060989794756962125,0.1427988353468938,0.11840191335680092,0.6651551140862305,037
1990,9954,0.5047581929518257,0.5300649479681412,0.5497839572832093,0.8635724331926864,042
1991,10360,0.016748646451436543,0.314639709219611,0.24831106330113145,0.5154440154440154,042
1992,10448,-0.11014835313583834,0.3350201522264596,0.27959308883051087,0.3537519142419602,042
1993,12559,-0.1882661193184416,0.3917994300498899,0.3469093997375054,0.29954614220877457,042
1994,14489,-0.22530259224616792,0.4744260033340789,0.4162064918419062,0.31133963696597416,042
1995,18676,-0.20766630808383413,0.5613315995626276,0.4696648772866345,0.3660312700792461,042
1996,23008,-0.16281637992408238,0.5337906247909269,0.41122254593799873,0.4453233657858136,042
1997,20328,-0.127692676176018,0.4234900117285446,0.319266103277538,0.43713105076741443,042
1998,17540,-0.09919364511742201,0.41565918898676574,0.3106188249978532,0.46254275940706957,042
