debut_year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
1990,42676,28034.31320000002,2903.804099999998,8178.772799999991,190.44209999999973,1250.6574,1895.4524000000051,0.6569105164495271,0.0680430241822101,0.1916480644858935,0.004462510544568369,0.02930587215296654,0.0444149498547194
1991,45184,29642.978200000038,3049.205799999998,8711.036499999993,202.4291999999994,1292.7696999999994,2052.3209000000056,0.6560503319759216,0.06748419351982998,0.19279029081090635,0.0044801080028328485,0.02861122742563738,0.045421408020538366
1992,45519,29555.094800000013,3087.4050999999968,9051.404100000009,206.14349999999945,1301.144099999998,2081.446500000003,0.6492913904084012,0.067826733891342,0.1988489224279973,0.004528735253410652,0.028584637184472374,0.04572698213932651
1993,46990,30260.25740000003,3163.0085999999937,9590.55929999999,208.75799999999936,1309.9469999999967,2218.427300000005,0.6439722792083429,0.06731237710151082,0.20409787827197254,0.00444260480953393,0.027877144073206996,0.047210625665035214
1994,48914,31369.874100000055,3297.797899999999,10098.289099999996,221.45369999999926,1336.4522999999965,2345.7499000000007,0.6413271067588023,0.06742032751359527,0.2064498732469231,0.004527409330661963,0.027322490493519168,0.04795661569284869
1995,49241,31503.439600000027,3290.5876999999955,10333.24410000001,221.83639999999954,1332.4665999999975,2309.280400000004,0.6397806624560839,0.06682617534168671,0.20985041124266385,0.004505115655652801,0.027060104384557533,0.0468975122357386
1996,51848,33166.11450000008,3364.2025999999996,11017.149500000021,229.37279999999924,1376.0388999999957,2437.4233000000045,0.6396797272797424,0.06488587023607467,0.21248938242555201,0.004423946921771317,0.02653986460422766,0.04701094159851883
1997,49894,31467.609100000052,3229.079599999997,11036.429700000012,219.88979999999904,1312.5628999999956,2377.398800000002,0.6306892431955756,0.06471879584719599,0.22119753276947152,0.004407139134966109,0.026307028901270606,0.047648991862749075
1998,65720,40892.220800000054,4235.8387999999995,15111.096500000082,280.7976999999992,1711.5579999999932,3163.9656,0.622218819233111,0.06445281192939743,0.2299314744370067,0.0042726369446135,0.026043183201460637,0.0481431162507608
1999,65791,40805.84450000012,4239.687800000003,15243.547000000068,278.03729999999916,1669.0811999999949,3227.6084000000055,0.6202344469608324,0.06444175951117939,0.2316965390402953,0.004226068915201155,0.025369445668860405,0.04905850952257916
2000,65620,40529.42140000003,4187.644800000001,15446.82170000008,277.553099999999,1614.4379999999921,3238.2415000000046,0.6176382413898206,0.0638165925022859,0.23539807528192747,0.0042297028345016615,0.024602834501676198,0.04934839225845786
2001,65549,39952.47930000007,4034.358499999996,16073.125800000058,272.23379999999906,1619.6574999999925,3268.7986000000064,0.6095055500465312,0.06154721658606533,0.2452077956948246,0.004153134296480481,0.02470911074158252,0.049868016293154835
2002,64630,38474.63130000004,3869.4144000000033,16750.542100000093,270.1769999999988,1608.0569999999911,3334.9537000000078,0.5953060699365625,0.059870252204858476,0.2591759569859213,0.004180365155500523,0.02488096859043774,0.051600707101965154
2003,64649,38575.68759999999,3891.6329999999925,16718.739400000068,271.6053999999989,1596.4232999999945,3273.219200000006,0.5966942659592568,0.06019633714365253,0.25860785781682727,0.00420123126421134,0.024693704465652902,0.05063062383022175
2004,62349,36263.26260000005,3652.4314999999992,17277.468500000068,255.38419999999843,1528.9710999999936,3058.2766000000083,0.5816173892123379,0.058580434329339674,0.27710899132303757,0.0040960432404689474,0.02452278464770876,0.04905093265329048
2005,52980,30566.6161,3083.365199999999,14884.601400000056,213.12079999999838,1290.8238999999937,2680.1000000000063,0.5769463212533031,0.05819866364665909,0.28094755379388553,0.004022665156662861,0.02436436202340494,0.05058701396753504
2006,63495,36182.46180000003,3650.220299999998,18359.898000000085,253.12489999999852,1531.1277999999934,3202.187400000006,0.5698474179069222,0.05748831089062128,0.2891550200803226,0.003986532797858076,0.024114147570674753,0.050432119064493366
2007,57970,32494.334600000035,3284.590799999998,17351.023900000073,222.51269999999846,1392.846499999994,2938.1620000000044,0.5605370812489224,0.056660182853199896,0.2993104002070049,0.0038384112471967994,0.02402702259789536,0.050684181473175854
2008,57274,31535.51980000007,3119.0370999999923,17763.612400000056,214.71399999999846,1371.6578999999945,2989.1840000000066,0.5506079512518782,0.05445816775500213,0.3101514194922662,0.0037488912944791436,0.023949050179837176,0.05219094178859529
2009,60036,32489.84020000002,3239.1498999999926,19248.5322000001,226.3913999999984,1431.7892999999917,3104.8040000000055,0.541172633086815,0.053953459590911995,0.3206165000999417,0.003770927443533853,0.02384884569258431,0.051715703910986836
2010,76647,41587.73010000002,4103.709899999997,24463.617300000165,289.51569999999873,1822.4288999999906,4003.027200000003,0.5425878390543664,0.05354038514227559,0.3191725351285786,0.00377726068861141,0.023776911033699825,0.052226795569298254
2011,74081,39562.87830000009,3939.786599999996,24291.068400000142,277.72829999999874,1755.2355999999872,3886.6602999999973,0.5340489234756562,0.053182146569295714,0.32789876486548697,0.003748981520227842,0.023693465260997925,0.05246500857169851
2012,83942,44062.39780000001,4400.478300000001,28114.31720000016,302.1243999999987,1979.2967999999896,4670.802300000003,0.5249147959305236,0.05242284315360607,0.334925510471518,0.003599204212432378,0.023579338114412207,0.0556432095971028
2013,91679,48169.72440000005,4723.721600000006,30683.361000000237,338.72239999999886,2111.2005999999883,5190.708300000012,0.5254172100481032,0.05152457596614281,0.3346825445303749,0.0036946563553267252,0.0230281809356558,0.05661829099357554
2014,96773,49916.9363,4965.885200000008,33289.84600000017,343.46989999999886,2202.8698999999933,5572.662800000004,0.515814703481343,0.05131477994895278,0.34399931799159034,0.0035492327405371215,0.02276326971365973,0.05758489248034063
2015,94551,48161.69279999987,4800.852000000002,33093.66910000018,340.53939999999926,2134.826299999996,5546.160900000003,0.5093726433353415,0.05077526414316085,0.35000866304957307,0.003601647787966275,0.02257856923776582,0.05865787670146273
2016,94816,47046.86790000013,4697.5659000000005,34507.97910000018,334.427799999999,2121.1068999999916,5637.641500000011,0.4961912324924077,0.04954402105129936,0.3639467927354052,0.003527124114073564,0.022370769701316146,0.0594587569608506
2017,97973,48319.229600000195,4833.765700000012,35770.05670000018,343.9063999999991,2162.7256999999886,6056.261500000002,0.4931892419340042,0.04933773284476347,0.36510116766864525,0.0035102160799403825,0.022074711400079498,0.061815617568105524
2018,93835,46139.041200000174,4602.399400000004,34409.213800000194,322.9585999999982,2051.913199999993,5846.986600000002,0.4917039612085061,0.0490477902701551,0.3666991399797538,0.003441771194117315,0.0218672478286353,0.0623113614323014
2019,106445,51983.83680000016,5186.880400000021,39333.22880000018,360.0269999999998,2320.160199999986,6726.883300000017,0.4883633500869008,0.04872826718023412,0.36951692235426914,0.003382281929635021,0.021796798346563822,0.0631958598337171
2020,104957,50121.013500000074,4965.686100000011,40132.7011000001,342.77509999999853,2273.1260999999913,6585.918800000012,0.47753854912011656,0.04731162380784522,0.3823727917147032,0.0032658622102384647,0.02165768933944369,0.06274873329077633
2021,99918,46352.5386000001,4597.787200000006,39698.64640000009,315.2070999999977,2136.5490999999874,6315.785100000001,0.46390578874677335,0.046015604795932724,0.3973122600532446,0.0031546578194118946,0.02138302508056594,0.06320968294001082
2022,100229,44497.35820000016,4429.731800000005,42032.328700000064,317.0138999999984,2152.5910999999883,6305.826600000015,0.4439569206517092,0.044196108910594785,0.419362945853995,0.0031628959682327307,0.02147672928992595,0.06291419249917703
2023,89747,38983.407700000025,3936.2544000000016,38597.490700000155,272.3074999999967,1869.1143999999897,5653.885200000008,0.4343700368814559,0.04385945379789855,0.4300699822835321,0.0030341682730341594,0.02082648333649024,0.06299804116015029
2024,95734,40604.63470000012,4009.238799999996,42458.3508000001,278.9529999999962,2000.2750999999857,5912.263599999999,0.42414016650302,0.04187894373994606,0.4435033613972058,0.002913834165500201,0.02089409300770871,0.06175719806965132
