cls,mark,year,kl_vs_past,kl_vs_future,dkl
009,OPENAI,2016,7.649844526357361,5.561013484273495,2.088831042083866
009,CLAUDE,2023,7.120500045775698,5.056455569314583,2.064044476461115
009,INSTAGRAM,2011,7.1553280130001795,6.028290930763541,1.1270370822366385
009,ETHEREUM,2018,4.964952552780777,4.000496213791753,0.9644563389890237
009,KUBERNETES,2014,4.702363333018059,4.619863099918983,0.0825002330990765
009,CHATGPT,2022,4.418448857638179,3.331643161790858,1.0868056958473207
009,UBER,2014,5.829601970448251,4.963324848782322,0.8662771216659291
009,PHOTOSHOP,2003,4.0777616434744495,4.120831192396938,-0.04306954892248882
009,AIRPODS,2015,3.679500271826223,3.6893199374405268,-0.009819665614303918
009,KINDLE,2010,3.7435608241896032,3.330702533292558,0.41285829089704507
009,IPOD,2001,5.855481219462945,4.8834636236864775,0.9720175957764674
032,LIQUID DEATH,2023,3.9660705802952765,3.796187798055392,0.1698827822398843
032,WHITE CLAW SELTZER WORKS,2016,9.12308495371974,7.3456129742099945,1.7774719795097456
032,ROCKSTAR,2002,4.73601082615173,3.921765359968867,0.8142454661828635
032,HARD MTN DEW,2021,4.805004358690059,4.955349360411963,-0.15034500172190413
032,FIJI,2005,5.310236583467602,4.857380922790387,0.4528556606772147
032,SMARTWATER,1997,4.131120102365713,4.581515952846729,-0.4503958504810157
032,KOMBUCHA,1997,5.1393603571408,4.97363258586422,0.16572777127658078
032,POWERADE,1996,3.7568409087886616,3.8658444140109918,-0.10900350522233015
032,GATORADE,1996,4.517663261984192,4.516570302449016,0.0010929595351765187
032,RED BULL,1995,3.2338614914380255,2.7476492290222936,0.4862122624157319
032,MONSTER ENERGY,2002,4.569341356041284,4.264958517324443,0.30438283871684124
032,CELSIUS,2004,6.14557778064915,6.494860815750761,-0.3492830351016112
