token,year,n,n_pass5,pass5
computer,2016,46331,16267,0.3511040124322808
computer,2017,49985,17106,0.34222266680004
computer,2018,51443,19267,0.3745310343486966
computer,2019,47580,17482,0.3674232870954182
computer,2020,57521,19835,0.3448305836129414
computer,2021,64621,25921,0.4011234737933489
computer,2022,60167,24966,0.41494506955640137
computer,2023,52552,19953,0.3796810777896179
computer,2024,53846,26790,0.497529992942837
computer,2025,59660,52079,0.8729299363057325
computer,2026,15358,15354,0.9997395494204975
featuring,1935,1,0,0.0
featuring,1950,3,0,0.0
featuring,1952,1,0,0.0
featuring,1953,1,0,0.0
featuring,1955,2,0,0.0
featuring,1957,1,0,0.0
featuring,1958,2,0,0.0
featuring,1960,1,0,0.0
featuring,1961,1,0,0.0
featuring,1962,1,0,0.0
featuring,1963,3,0,0.0
featuring,1964,2,0,0.0
featuring,1965,7,0,0.0
featuring,1966,4,0,0.0
featuring,1967,9,0,0.0
featuring,1968,23,0,0.0
featuring,1969,17,0,0.0
featuring,1970,5,0,0.0
featuring,1971,10,1,0.1
featuring,1972,14,0,0.0
featuring,1973,17,0,0.0
featuring,1974,14,0,0.0
featuring,1975,70,1,0.014285714285714285
featuring,1976,98,0,0.0
featuring,1977,132,0,0.0
featuring,1978,149,3,0.020134228187919462
featuring,1979,146,6,0.0410958904109589
featuring,1980,153,13,0.08496732026143791
featuring,1981,198,19,0.09595959595959595
featuring,1982,231,29,0.12554112554112554
featuring,1983,173,24,0.13872832369942195
featuring,1984,254,38,0.14960629921259844
featuring,1985,327,55,0.16819571865443425
featuring,1986,355,36,0.10140845070422536
featuring,1987,334,50,0.1497005988023952
featuring,1988,445,86,0.19325842696629214
featuring,1989,653,158,0.24196018376722817
featuring,1990,1818,818,0.44994499449944997
featuring,1991,2125,746,0.35105882352941176
featuring,1992,2451,836,0.34108527131782945
featuring,1993,3314,1319,0.3980084490042245
featuring,1994,4528,1889,0.4171819787985866
featuring,1995,6067,2403,0.3960771386187572
featuring,1996,7079,2736,0.386495267693177
featuring,1997,7693,3295,0.42831145196932274
