cls,name,year,n,beta_lin,beta_quad,z_lin,z_quad
001,Chemicals & Industrial,1990,2677,-0.04363904071661394,0.019393082010662407,-0.937361921792415,0.810406043525487
001,Chemicals & Industrial,1991,2580,0.029897767003052696,0.011427833414589448,0.7390455688015045,0.45240003768496045
001,Chemicals & Industrial,1992,2464,0.029815767630538736,-0.021707436750502632,0.7069417866076843,-0.8074449537674877
001,Chemicals & Industrial,1993,2696,-0.06804320740929685,0.03716548353004699,-1.695101081667405,2.0338314898365093
001,Chemicals & Industrial,1994,2670,-0.002927057865525041,-0.006961859340926419,-0.07195874274791773,-0.29903959617403575
001,Chemicals & Industrial,1995,2934,0.08904415536067771,0.004419217113166529,2.2774432922002235,0.2081528869860883
001,Chemicals & Industrial,1996,2872,0.08011304718685298,0.015056520755323467,1.9838842374337466,0.6878503256792255
001,Chemicals & Industrial,1997,3120,0.033236950242978444,-0.011854586846477274,0.846301441522082,-0.5448781850206977
001,Chemicals & Industrial,1998,2635,0.08710167546091958,-0.015905754753984907,2.050899262335562,-0.6673074974219935
001,Chemicals & Industrial,1999,2575,0.12730985333465653,0.019025254040715617,2.8997520852842675,0.7329106277566881
001,Chemicals & Industrial,2000,2839,0.04283033623498912,0.007769651323013849,1.072743307329096,0.40106152780721027
001,Chemicals & Industrial,2001,2973,-0.0668321576092436,0.03095301436751985,-1.7233168475473866,1.3388321609235323
001,Chemicals & Industrial,2002,2767,-0.06498354794820072,-0.010307241513340545,-1.6738769023312041,-0.5125952466270882
001,Chemicals & Industrial,2003,3083,-0.019810076993958477,0.005595671254183602,-0.5343045060272877,0.2870935808080756
001,Chemicals & Industrial,2004,3350,-0.17906944390826127,0.006313493497605393,-4.88969361715482,0.335730010922723
001,Chemicals & Industrial,2005,3468,-0.07265538739154925,0.007185076513234248,-1.9848340245267613,0.4814597457183434
001,Chemicals & Industrial,2006,3732,-0.07834492558791246,0.05316104008000423,-1.9855949380409568,3.4165689760091573
001,Chemicals & Industrial,2007,4074,-0.07709673241305788,0.1179095402479595,-1.8599941528484236,5.901888384000853
001,Chemicals & Industrial,2008,4289,0.0175314947443442,0.0915942420006715,0.5002164698077347,4.937354255518531
001,Chemicals & Industrial,2009,3850,0.04723110631322266,0.03835128279414272,1.3135350066815026,3.1954509031965186
001,Chemicals & Industrial,2010,4188,-0.07303420173210654,0.0022681407261524386,-2.2238924393682975,0.19423045954947873
001,Chemicals & Industrial,2011,4492,-0.11934391992236468,0.026421641195280506,-3.679378824480244,2.7773068195341866
001,Chemicals & Industrial,2012,4579,-0.06319904299894073,-0.0002604077764836203,-1.9742145709776038,-0.040641277671362344
001,Chemicals & Industrial,2013,4534,0.04160138645439304,0.002270356622210972,1.2207194737383078,0.27246128931599484
001,Chemicals & Industrial,2014,5129,-0.0011995897962009203,0.00624407826587796,-0.030899166626831318,0.6223666347115585
001,Chemicals & Industrial,2015,5180,0.01256203339618022,0.05717831239182265,0.39935549703807277,4.681711098588288
001,Chemicals & Industrial,2016,5062,0.06051487573194019,0.016833152044284174,1.9653349150924513,1.6966777401639312
001,Chemicals & Industrial,2017,5570,0.12460009663702304,-0.008301611675379308,3.989382748373075,-1.3764075683517831
001,Chemicals & Industrial,2018,5429,0.05602563397454759,0.008100386062902464,1.617958370391978,1.2976679049795368
001,Chemicals & Industrial,2019,6124,0.19369038411910813,0.03345294883851455,6.51726582829401,2.8581347860092094
001,Chemicals & Industrial,2020,6613,0.16787948039488823,0.04578245715207994,6.334467372495812,3.450186510160151
001,Chemicals & Industrial,2021,6724,0.056895421721026816,0.04203834584468683,2.221854433253217,3.9057949993700936
002,Paints & Coatings,1990,684,-0.1356254449332725,-0.057144298780139,-1.494560645322884,-1.043586024726223
002,Paints & Coatings,1991,677,0.043126141300357024,-0.04169749777423849,0.5178432910559734,-1.0253391841088182
002,Paints & Coatings,1992,706,-0.045871532887438136,0.003534924049733965,-0.4464760567257732,0.12236927489118592
002,Paints & Coatings,1993,817,-0.048995080405353456,-0.021020176622798283,-0.5295014817174417,-0.5426100523046578
002,Paints & Coatings,1994,741,-0.060139669691498296,0.05528492800200238,-0.6480511141569458,1.3804999896679597
002,Paints & Coatings,1995,904,0.06229754906307949,0.003563607333366595,0.8420775234383495,0.08548205449909795
002,Paints & Coatings,1996,831,-0.01607077493668495,0.055345132155473924,-0.21008514050375332,1.3530517783657583
002,Paints & Coatings,1997,799,-0.061086888023627654,0.10274040475424455,-0.7685698661177197,1.880258905123161
002,Paints & Coatings,1998,743,-0.12909836981899492,0.13772151337243285,-1.5170860534322053,2.6165344087084224
002,Paints & Coatings,1999,734,0.16121460188995243,-0.008056169755319347,1.9468110094629862,-0.19072770340930167
002,Paints & Coatings,2000,793,-0.1327108885106484,-0.00342624064993481,-1.7949553861443692,-0.08219049756732015
002,Paints & Coatings,2001,755,0.029061166328612845,0.02106383911812433,0.3941381907776967,0.5317474409230575
002,Paints & Coatings,2002,753,0.08482919358204848,0.000402474180028721,1.152283219188791,0.010400224984264114
002,Paints & Coatings,2003,960,-0.05648303070371494,0.09728541012289585,-0.8294819626732893,2.2707125397389616
002,Paints & Coatings,2004,1054,-0.06555415748667177,-0.03095411389373004,-1.0086573930087526,-0.7805475928721809
002,Paints & Coatings,2005,1081,-0.11495489286227402,-0.010381570652000145,-1.725675466131939,-0.2554450978542415
002,Paints & Coatings,2006,1075,-0.028289595931214894,-0.11237513847586841,-0.4270111665983245,-2.973993228942764
002,Paints & Coatings,2007,1145,-0.016729946313860863,-0.08886738439252707,-0.2600747153395105,-2.5244187720924813
002,Paints & Coatings,2008,1147,-0.099766652095298,0.0021651271321700806,-1.5755784132999924,0.09197417635954777
002,Paints & Coatings,2009,961,-0.19722002545105255,0.07234519807246974,-2.432677950180386,1.7571696102157597
002,Paints & Coatings,2010,1041,-0.11707275098683781,0.10019860929407451,-1.7063306131418985,2.3283721176376058
002,Paints & Coatings,2011,1191,-0.1157745522924087,-0.00871667650104651,-1.8452120379815502,-0.28034251001675237
002,Paints & Coatings,2012,1080,-0.23802253545671803,-0.047051452861937224,-3.71548212463051,-1.2668577164613337
002,Paints & Coatings,2013,1112,-0.08620785960040679,-0.030388910115933684,-1.3774829539795694,-0.9343490407125385
002,Paints & Coatings,2014,1293,0.2001971114435961,-0.06867207930397078,2.7665850875840374,-2.6031555263549695
002,Paints & Coatings,2015,1305,-0.10912335726744031,0.008944367595956314,-1.2896501270700074,0.2638388402022459
002,Paints & Coatings,2016,1312,-0.042931373898505557,-0.0986114872587653,-0.46507687968214373,-2.0733095135840127
002,Paints & Coatings,2017,1414,-0.28044003240750737,0.03777672735212744,-3.948209549584289,0.9256793910927085
002,Paints & Coatings,2018,1358,-0.05766040268439725,-0.030464090528189172,-0.9160026402179543,-0.9167293998651157
002,Paints & Coatings,2019,1596,-0.16136148907207623,-0.04129294556827335,-2.762497822800178,-1.3025858178105234
002,Paints & Coatings,2020,1849,-0.3182600462917438,-0.05318813669940535,-5.717999138971296,-1.5401469404181842
002,Paints & Coatings,2021,1742,-0.2190713256099691,0.006340617650047704,-3.908650766956744,0.22911886099312453
003,Cosmetics & Cleaning,1990,4155,-0.029870125995439607,0.029229163423100602,-0.7662833295025743,1.6484176288689196
003,Cosmetics & Cleaning,1991,4126,0.0031091384013167923,-0.02410167557506684,0.09819036721239212,-1.1869280147322534
003,Cosmetics & Cleaning,1992,4282,0.058637195188941435,0.000038870905256842874,1.8328079854857582,0.00204553098299977
003,Cosmetics & Cleaning,1993,4525,0.05785370434805665,-0.014695258608353391,1.8535227235884426,-0.8464484850253843
003,Cosmetics & Cleaning,1994,5098,0.051106322014413355,-0.021424937333768136,1.6992911542103855,-1.3235166341248252
003,Cosmetics & Cleaning,1995,5665,-0.05038919630138889,-0.016836233884002242,-1.7788376195600892,-1.084104643846757
003,Cosmetics & Cleaning,1996,5888,-0.04202745860322688,0.0053099696693076825,-1.5286067444520166,0.34313429017027014
003,Cosmetics & Cleaning,1997,6164,-0.09316069127610664,0.024357699273054555,-3.46198112135372,1.951882483952951
003,Cosmetics & Cleaning,1998,4947,-0.014478463064883153,0.024035140912906077,-0.498339744117541,1.9304960126239097
003,Cosmetics & Cleaning,1999,5450,0.03498832386846445,0.02570217307254369,1.2437082780193691,1.9005475520470696
003,Cosmetics & Cleaning,2000,5558,0.014740166809219279,-0.004650751666298421,0.5186099466945399,-0.5476239192545248
003,Cosmetics & Cleaning,2001,5506,-0.014693883521688215,0.03475214094210286,-0.511046849080885,2.39942387459332
003,Cosmetics & Cleaning,2002,6163,-0.0471459510727911,0.023544314313892693,-1.7618779304241103,1.7991024577417052
003,Cosmetics & Cleaning,2003,7131,-0.0809331560633756,-0.006120386335775388,-3.29131384200929,-0.5504409887884514
003,Cosmetics & Cleaning,2004,8437,-0.2008295808930898,-0.028542681249210302,-8.786285530738551,-2.2409164852497794
003,Cosmetics & Cleaning,2005,9599,-0.12658281699797533,0.013252521431580193,-5.895266668195147,1.1142436405288163
003,Cosmetics & Cleaning,2006,9308,-0.05535337846341421,0.030151050840272423,-2.572799839515007,2.350986223596293
003,Cosmetics & Cleaning,2007,10329,-0.07580038723406485,0.0055214634857190074,-3.770627757016348,0.5974255142827577
003,Cosmetics & Cleaning,2008,9960,-0.11339239034914401,0.02785679714034374,-5.110461614360009,3.3946245267418007
003,Cosmetics & Cleaning,2009,8926,-0.13399345846805738,0.0011010704695353997,-6.096139693240936,0.12074777472803519
003,Cosmetics & Cleaning,2010,9419,-0.12648992764643024,0.008543665706726907,-5.874835110946724,1.0417751920180838
003,Cosmetics & Cleaning,2011,10372,-0.12255888259641398,-0.00433293238309995,-5.855654915011786,-0.5794281701083244
003,Cosmetics & Cleaning,2012,10598,-0.12569217375756397,0.0004972632211223476,-5.51859899585856,0.07811770953206505
003,Cosmetics & Cleaning,2013,11045,-0.04535788976816,-0.0007185269208973614,-2.2581591001435495,-0.10876129718496959
