cls,class_name,year,n_total,n_debuts,debut_share,single_share,midtier_share,heavy_share,top10_share
001,Chemicals & Industrial,1985,1716,603,0.3513986013986014,0.527972027972028,0.40501165501165504,0.06701631701631702,0.08682983682983683
001,Chemicals & Industrial,1986,1739,597,0.3433007475560667,0.5451408855664175,0.4479585968947671,0.006900517538815411,0.048303622771707876
001,Chemicals & Industrial,1987,1795,612,0.34094707520891365,0.547075208913649,0.42729805013927574,0.02562674094707521,0.0584958217270195
001,Chemicals & Industrial,1988,1947,656,0.33692860811504877,0.5351823317925013,0.421160760143811,0.04365690806368772,0.05752439650744735
001,Chemicals & Industrial,1989,2279,754,0.330846862659061,0.49319877139096097,0.4716981132075472,0.035103115401491886,0.04695041684949539
001,Chemicals & Industrial,1990,2855,1305,0.45709281961471104,0.5320490367775832,0.42942206654991244,0.03852889667250438,0.04483362521891419
001,Chemicals & Industrial,1991,2653,1083,0.4082171127026008,0.5118733509234829,0.45910290237467016,0.029023746701846966,0.042593290614398795
001,Chemicals & Industrial,1992,2554,960,0.37588097102584184,0.5031323414252153,0.4577133907595928,0.03915426781519186,0.04620203602192639
001,Chemicals & Industrial,1993,2785,1020,0.36624775583482944,0.496229802513465,0.4660682226211849,0.03770197486535009,0.04416517055655296
001,Chemicals & Industrial,1994,2752,997,0.36228197674418605,0.5159883720930233,0.4476744186046512,0.036337209302325583,0.04941860465116279
001,Chemicals & Industrial,1995,3094,1187,0.3836457659987072,0.48383968972204267,0.4447317388493859,0.07142857142857142,0.06819650937297995
001,Chemicals & Industrial,1996,2982,1086,0.3641851106639839,0.5103957075788061,0.44198524480214624,0.047619047619047616,0.04426559356136821
001,Chemicals & Industrial,1997,3431,1247,0.36345088895365785,0.4814922763042845,0.4689594870300204,0.04954823666569513,0.040804430195278345
001,Chemicals & Industrial,1998,3713,1367,0.3681659035820092,0.4882844061405871,0.45812011850255857,0.05359547535685429,0.04497710746027471
001,Chemicals & Industrial,1999,3972,1528,0.38469284994964753,0.5,0.4516616314199396,0.04833836858006042,0.0433031218529708
001,Chemicals & Industrial,2000,4032,1566,0.38839285714285715,0.48561507936507936,0.43253968253968256,0.0818452380952381,0.0496031746031746
001,Chemicals & Industrial,2001,4115,1474,0.35820170109356014,0.4454434993924666,0.4850546780072904,0.06950182260024301,0.04592952612393682
001,Chemicals & Industrial,2002,3855,1333,0.3457846952010376,0.482230869001297,0.4749675745784695,0.042801556420233464,0.0324254215304799
001,Chemicals & Industrial,2003,3934,1378,0.35027961362480936,0.4811896288764616,0.4750889679715303,0.043721403152008134,0.03609557702084393
001,Chemicals & Industrial,2004,4196,1468,0.34985700667302194,0.47068636796949476,0.44494756911344135,0.08436606291706387,0.05004766444232602
001,Chemicals & Industrial,2005,4263,1579,0.3703964344358433,0.4768942059582454,0.44170771756978655,0.0813980764719681,0.0422237860661506
001,Chemicals & Industrial,2006,4502,1627,0.3613949355841848,0.4473567303420702,0.488005330964016,0.06463793869391382,0.03553976010661928
001,Chemicals & Industrial,2007,4810,1764,0.36673596673596676,0.44095634095634095,0.49875259875259875,0.060291060291060294,0.035343035343035345
001,Chemicals & Industrial,2008,4947,1673,0.3381847584394583,0.43925611481706084,0.4574489589650293,0.10329492621790984,0.05558924600768142
001,Chemicals & Industrial,2009,4412,1564,0.35448776065276516,0.4696282864913871,0.46668177697189483,0.06368993653671805,0.03921124206708976
001,Chemicals & Industrial,2010,4821,1733,0.35946898983613357,0.45924082140634725,0.47624974071769344,0.06450943787595935,0.04812279610039411
001,Chemicals & Industrial,2011,5120,1826,0.356640625,0.4392578125,0.478125,0.0826171875,0.03828125
001,Chemicals & Industrial,2012,5170,1842,0.3562862669245648,0.4518375241779497,0.47330754352030946,0.07485493230174081,0.03694390715667312
