class_id,name,n_eff_total,max_share,concentration,mean_dkl,dominant_eth
27,27,1872.6048999999998,0.680368667197229,0.3864925255153774,0.1092029320064803,API
11,11,18587.6049,0.660480458135841,0.36732784593824186,0.06653070653310462,API
37,37,12244.7068,0.7141097572054564,0.36191262832388715,0.060604583608882066,White
42,42,36547.2433,0.7156092481536085,0.3464469221309727,-0.027897025793657933,White
36,36,24952.889199999998,0.7062477719012997,0.344412039134841,-0.005580467197172477,White
41,41,140278.3628,0.6972563611927186,0.33803688333315485,0.019114641149327653,White
38,38,5425.3453,0.7010073810417192,0.3281311692188241,-0.04055462673577435,White
45,45,13481.969900000002,0.6940688689714402,0.3271803033026399,0.010495304741489811,White
39,39,6494.335400000001,0.6856241209839579,0.30991773271892076,0.00738086882819947,White
32,32,6153.1437,0.6827852078279921,0.3028494318519005,0.03211588600303214,White
35,35,96847.2983,0.6826120331742906,0.30263752208865324,0.004445477023763184,White
24,24,11219.441700000001,0.5979364641647008,0.30037038982135345,0.037297601912687314,API
21,21,34478.9119,0.5871380065216039,0.29154721977681686,0.08606840023497377,API
26,26,6951.919600000001,0.6017223501836817,0.28991346294842013,0.14823870598539785,API
44,44,20443.4503,0.6725286093218814,0.28774004417694776,0.04626220124189822,White
19,19,3212.5282,0.6642407061204941,0.28540176272406104,0.01156119671266836,White
13,13,1132.8388,0.652203561530555,0.2844389330285566,0.062178605466766346,White
31,31,4053.8541000000005,0.6696504938349904,0.28182378285340204,0.059357178190163916,White
1,1,4119.6476999999995,0.6671660540293288,0.2814025905607289,0.004889404308364714,White
40,40,6380.383099999999,0.6620125051738665,0.2740297403723251,0.0198999336535217,White
20,20,21512.0296,0.5275724657797979,0.27324906866105503,0.12421366932884514,API
16,16,57345.3808,0.6495000099467472,0.2684156504744136,0.039962366200922285,White
8,8,8970.0845,0.5273865703271803,0.2648153927999658,0.0896198208194824,API
22,22,2402.5753,0.5023858357321829,0.2574599295575801,0.13689250452671972,API
33,33,4938.5011,0.6162953978080516,0.2573484593427823,0.05619947286498758,White
15,15,1873.7189,0.5415033172798759,0.2449889009276861,-0.03322279411222083,White
7,7,8896.2137,0.4653760959002143,0.24324659714191743,0.08518751676641254,API
12,12,12598.2656,0.4527229367191624,0.23796474600632056,0.0873962697655535,API
6,6,7716.4726,0.47780850022068383,0.23086462037087596,0.06906870491675689,White
30,30,16253.7855,0.6264927207265041,0.22871622031726713,0.03220657824016047,White
28,28,39666.5127,0.4744798601869532,0.22593743753575335,0.01789336895553617,White
29,29,7498.8766,0.6199105610032308,0.22408676782940828,0.006800456552492926,White
17,17,1992.5843,0.5163490949918657,0.2184453647054072,0.05125558730004992,White
14,14,16793.3664,0.4445757879730416,0.21834370114257595,0.04972821422395211,API
10,10,13528.398899999998,0.47065582905010295,0.21610941559255237,0.06899429607239754,White
5,5,19899.163099999998,0.593080535130646,0.21411959394565738,0.08999565709904385,White
2,2,1549.6794999999997,0.5410516819768216,0.20688426113661496,0.06593977186912768,White
18,18,17975.3538,0.45493379941150314,0.2062268414458499,0.03272863827416164,API
9,9,107047.2322,0.5644020724152828,0.20589404360126007,-0.0073212566191447025,White
4,4,2389.8151,0.581527750828924,0.19354807315851008,0.07325858383579656,White
43,43,12719.6912,0.567830428147501,0.16859706588725065,0.06322747196982854,White
25,25,144289.47090000001,0.5586753807966178,0.16399490665098038,-0.016582766033553537,White
3,3,41256.0152,0.5346664478638258,0.1614962365026953,0.058644526007386934,White
34,34,3048.1678999999995,0.5321409296384232,0.16128052342712085,0.1714890949975009,White
