figure,cls,gridsize,mincnt,hex_cells_in_extent,cells_drawn,cells_blank,pct_points_in_drawn_cells,median_cell_n,base_rate,cell_sd,binomial_noise_sd,dispersion,cells_clipped_at_colour_limit
quadrant_survival,009,45,85,693,282,411,97.9,549,0.4618,8.496,2.444,3.48,23
quadrant_survival,032,24,40,188,68,120,95.9,192,0.4565,9.099,3.942,2.31,6
quadrant_listing,009,45,400,816,243,573,96.5,2137,0.04839,0.35,0.172,2.04,0
quadrant_listing,032,18,250,163,43,120,94.7,944,0.0251,1.07,0.316,3.39,2
