class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,share_positive_dkl,class_name
001,White,2748.4891000000002,4236,0.6488406751652503,-0.0006625952342677056,0.48157444029885366,Chemicals
001,Black,430.2655,4236,0.10157353635505192,-0.0037399268475421317,0.4971172450498588,Chemicals
001,API,571.8422,4236,0.13499579792256847,0.035060350982592664,0.5570528023290341,Chemicals
001,AIAN,25.5469,4236,0.00603090179414542,0.01286349502473333,0.5022174901847191,Chemicals
001,2+races,73.72,4236,0.01740321057601511,0.0031417238376362337,0.4974837221920781,Chemicals
001,Hispanic,369.0509,4236,0.08712249763928234,0.009548634751425157,0.5071755684649462,Chemicals
002,White,838.4567,1590,0.5273312578616351,0.021680411436267834,0.513944130925306,Paints
002,Black,126.09909999999999,1590,0.07930761006289308,0.024875356748738704,0.5254803563229238,Paints
002,API,460.8288,1590,0.2898294339622641,0.16207009324462424,0.7325774777965266,Paints
002,2+races,27.3127,1590,0.017177798742138366,0.05632759032967109,0.5580151358159391,Paints
002,Hispanic,124.29489999999998,1590,0.078172893081761,0.04975344755710275,0.5627109398696167,Paints
003,White,22058.207100000003,42434,0.5198238935759062,0.04502057619632811,0.6009416241268312,Cosmetics & Cleaning
003,Black,4837.2742,42434,0.11399524437950699,0.04870617534637955,0.613773393288311,Cosmetics & Cleaning
003,API,10223.6398,42434,0.24093038129801575,0.09303787291575688,0.7698285399295856,Cosmetics & Cleaning
003,AIAN,237.6759,42434,0.005601072253381722,0.04911272342991099,0.6094042349266374,Cosmetics & Cleaning
003,2+races,788.636,42434,0.01858500259226092,0.056418130601220376,0.6434565502969685,Cosmetics & Cleaning
003,Hispanic,4136.8940999999995,42434,0.09749008106706884,0.05791190957124673,0.6381041999600618,Cosmetics & Cleaning
004,White,1389.7438000000002,2455,0.5660870875763748,0.07984684783310703,0.5703224579954953,Oils & Fuels
004,Black,283.7872,2455,0.11559560081466394,0.08753298102963773,0.575216218349524,Oils & Fuels
004,API,484.86670000000004,2455,0.19750171079429737,0.045893096908157315,0.5120792993208236,Oils & Fuels
004,AIAN,12.9558,2455,0.005277311608961303,0.0871648268554191,0.5651059757020022,Oils & Fuels
004,2+races,44.262,2455,0.018029327902240325,0.07403922051811772,0.5576747548687362,Oils & Fuels
004,Hispanic,231.4174,2455,0.09426370672097759,0.07352530140389704,0.5731254434627647,Oils & Fuels
005,White,11801.8063,20454,0.5769925833577785,0.06758702155371624,0.5913019856968843,Pharmaceuticals
005,Black,1879.7261,20454,0.0919001711156742,0.074363514933446,0.603993688229365,Pharmaceuticals
005,API,4294.8242,20454,0.20997478243864282,0.1600226052143873,0.7501018551585883,Pharmaceuticals
005,AIAN,104.17609999999999,20454,0.005093189596167009,0.06972393327612186,0.5893847053210861,Pharmaceuticals
005,2+races,372.01149999999996,20454,0.01818771389459274,0.09157020809954755,0.634122869857518,Pharmaceuticals
005,Hispanic,1922.8065000000001,20454,0.09400638017013788,0.08640355896692033,0.6245021534928241,Pharmaceuticals
006,White,3686.9962,7906,0.4663541866936504,0.0345527447248876,0.5498761566393803,Common Metals
