stratum,token,tm_lift,tm_slope,google_lift,google_slope
negative,mens,0.06459666249467896,-0.08112743122135921,0.6660300482372262,-0.012712384151374094
negative,periodically,0.09509280895333011,-0.08465961963562517,0.6853284261146201,-0.011096794467307516
negative,sunless,14.632024141472906,0.011346740234096157,1.9198411599782357,0.027028040169490963
negative,microfiche,0.13347743585957134,-0.08534303450007767,0.008716744629694578,-0.1592803423182125
negative,rejection,76.82658591679495,0.08143272673637594,1.2164371695536096,0.00675206759374673
negative,womens,0.19681210344361824,-0.060894572956147364,0.6526519991004353,-0.025964468707286026
negative,minicomputers,0.26968219881714683,-0.04546560381263567,0.056848714153229334,-0.08862302289870563
negative,lager,5.096763003418175,0.07904166587934039,2.1881124641815237,0.03133136846898416
negative,astringent,0.5852516054354375,-0.021173332329264976,1.5896665438357416,0.012782076668481801
negative,dialing,0.8466921246702445,-0.01676305302115041,0.5927638874218797,-0.01752282519970065
negative,dial-up,2.2895887080063733,0.03660971942911294,0.362254041414032,-0.026923466753666404
negative,proxy,5.958609338480902,0.06688347596518862,1.4045584263421431,0.009595138215033704
negative,pager,0.5021441552855527,-0.0189437709382219,1.8490303345296424,0.012138282071052288
negative,stout,6.185240625996758,0.09066191793345285,1.4957256825907044,0.01745540887926845
negative,smartwatch,inf,0.7523754614876703,1235.0341925956648,0.2241003988413236
negative,productive,6.531512274425044,0.04441871927060528,0.943224091229092,-0.001717278024325843
negative,porter,1.1719266493806055,0.020825773307616348,1.3678167600857463,0.01225747755792668
negative,slogans,4.91779592483159,0.05377028793503647,1.0798187338020249,0.0021807631810933964
negative,shandy,22.44750863856524,0.13282694051483174,1.5045120960009406,0.029493727967930296
negative,store-and-forward,1.3271682116269394,-0.02698310412045685,0.39149749829176694,-0.03459350026805171
negative,casualty,1.2751909437204791,0.008059834952165201,0.6072896825951315,-0.013475681954400874
negative,blemish,2.169025967235771,0.0293804795121594,3.129097143764042,0.032124734282544455
negative,carry-out,0.47375240099899035,-0.018138382380034596,0.7151435194924594,-0.01629866294089583
negative,selfie,inf,0.7123953282628378,2341.1777009827197,0.2262584243359697
negative,sepsis,94.23059492510146,0.130288368062891,1.97016556571698,0.024948554076355024
neutral,outsource,inf,0.18044163560916038,38.6056160157239,0.1091702288162081
neutral,colloquia,inf,0.04723947472842169,0.4146407722286541,-0.02474706664207787
neutral,systematisation,inf,0.1570890825253385,2.216435464064978,0.026091835545629636
neutral,systematization,132.19727991901053,0.16973662347457708,1.4932327216995764,0.013428205878456287
neutral,institutes,5.872360594266811,0.07752993564311765,0.5890179095170541,-0.019361112745308922
neutral,organisational,inf,0.15035193624800264,2.7813844312893448,0.03284689220056525
neutral,organisations,inf,0.12458277940023814,1.2721922197955131,0.007093275843315469
neutral,taxation,11.41587695435629,0.09045551239005586,0.550170486086058,-0.021057200817996134
neutral,enquiries,inf,0.1260139273915036,0.6375464790691733,-0.012773094046314814
neutral,chocolate-coated,28.807025701979743,0.09910445717461343,1.55319996827327,0.022372933039506864
neutral,cheese-based,45.276936275883735,0.08153836996506274,1.8104682798336365,0.024270731538255704
neutral,scheme,66.863433623278,0.14144489375566882,0.7223586966587942,-0.009496744267114117
neutral,mergers,5.306742025211765,0.06901081775246762,0.505176843973862,-0.021575084497113917
neutral,non-commercial,51.2532744037973,0.16023123425431454,0.8443529522560644,-0.00470242176594275
neutral,freighting,298.10819734496306,0.14660199110940922,0.680085480252183,-0.006371227657129849
