brand,story,launch_year,filing_date,serial_number,mark_identification,nice_classes,dkl,prospective_kl,retrospective_kl,goods_services
CHATTER,Chatter social-collab launched 2010,2010,20080107,77365708,CHATTER,"038,042,045",0.1901576890142902,4.599978225792655,4.409820536778365,"Online social networking services for businesses and individuals via a global communications network Computer services, namely, the creation and management of online communities for businesses and individuals that allow participants to shar"
HEROKU,Heroku (acquired Dec 2010),2010,20110714,85371774,HEROKU,042,0.03780131138507148,4.483342454971084,4.445541143586013,"Computer services, namely, hosting computer software applications of others, website hosting services, computer programming, and rental of database servers"
PARDOT,Pardot (acquired Jun 2013),2013,20140910,86391400,SALESFORCE PARDOT,"035,042",0.053314388134656054,3.256192650641696,3.20287826250704,business consultancy services for others in connection with customer engagement on the Internet and other media; advisory services relating to advertising and marketing; compilation and systemization of data and information into computer da
MULESOFT,MuleSoft (acquired May 2018),2018,20130221,85856337,MULESOFT,"009,042",0.14902137845926,3.9222765384875484,3.773255160028288,"Computer software for application and database integration; computer software for integration of computer systems, applications, data and databases; computer software for creation and connectivity to application programming interfaces (APIs"
TABLEAU,Tableau (acquired Aug 2019),2019,20041207,78528735,TABLEAU SOFTWARE,009,-0.022593236715501952,6.031363450397029,6.053956687112531,"Computer software for data mining, data query, and data analysis"
TRAILHEAD,Trailhead launched 2014,2014,20150406,86588816,TRAILHEAD,"041,042",0.20010894255700173,4.400025323294743,4.199916380737742,"Educational services, namely, providing online learning portals, e-learning platforms and learning management systems, namely, learning modules, courses and interactive classes in the fields of online computer services, managing online data"
SLACK,Slack (acquired Jul 2021),2021,20130501,85920626,SLACK,042,0.6991713506669406,6.436998712208727,5.737827361541786,"Platform as a service (PAAS) featuring computer software platforms for use in group communication, namely, postings, memoranda and instant messaging, file sharing, calendar synchronization, and automated integrations with external service p"
