bucket,n,survival_rate,p_public,median_total_filings,median_T_filings
1-10,10,0.1,0.0,3.5,1.5
11-50,40,0.575,0.025,6.5,3.0
51-200,150,0.47333333333333333,0.04,4.0,1.0
201-1k,800,0.56,0.035,3.0,2.0
1k-5k,4000,0.4295,0.0295,3.0,2.0
5k+,29790,0.32641826116146355,0.015542128230949984,4.0,2.0
