brand,story,launch_year,filing_date,serial_number,mark_identification,nice_classes,dkl,prospective_kl,retrospective_kl,goods_services
DUAL CYCLONE,Dual Cyclone bagless vacuum 1993-,1993,19970929,75364907,DUAL CYCLONE,"003,007,011",0.08531393486228911,4.921171648985136,4.835857714122846,"refrigerators and freezers, tumble dryers, hair dryers and parts and fittings therefor washing machines for clothes, dishwashing machines; floor washing machines, floor polishing machines, vacuum cleaners, carpet shampooing machines and par"
AIRBLADE,Airblade hand dryer launched 2006,2006,20070307,77124176,AIRBLADE,"007,011",-0.20284884178699203,4.12522931514294,4.328078156929933,"[ Electrical apparatus for kitchen and laundry use, namely, clothes washing machines and dishwashers; apparatus for cleaning, polishing and shampooing floors and carpets, namely, vacuum cleaners, carpet shampooers, floor polishers, hand hel"
AIRWRAP,Airwrap launched 2018,2018,20171201,87704645,DYSON AIRWRAP,"008,011,021",0.035347929006791734,4.027200304527796,3.9918523755210047,"Electric hair dryers; hair dryers; cases, boxes and bags specially adapted for all the aforesaid goods; parts for the aforesaid goods Hair styling apparatus, namely, electric irons for styling hair; electrical appliances for styling hair, n"
SUPERSONIC,Supersonic hair dryer launched 2016,2016,20160418,79190390,DYSON SUPERSONIC,011,0.20680208851358906,5.191050732519816,4.984248644006227,"Hair dryers; cases specially adapted for hair dryers; accessories for hair dryers, namely, diffusers, smoothing nozzles, and concentrator nozzles; parts and fittings all for hair dryers"
