bucket,n_filings,n_firms,pass_5y,reach_reg,ci95_lo,ci95_hi
1,2253497,2253497,0.4160799859063491,0.4542983638318578,0.41543656412070795,0.41672369381314023
2,1431814,715907,0.3979162097870254,0.45218792385044426,0.39711473824686166,0.3987182291134746
3-4,1593429,470618,0.38461330878250616,0.44704784461686087,0.3838581896773815,0.38536898425813026
5-9,1735125,271537,0.3770264390173619,0.45239564872847776,0.37630558562361,0.3777478369415493
10-24,1714982,119731,0.3678534235344744,0.460826994102562,0.3671319939046536,0.36857544518584534
25-99,1531062,36111,0.3641126224803437,0.4764209418037937,0.3633507665839267,0.36487516028727723
100-999,946429,4694,0.3890899370158776,0.5040335830791322,0.388108130831189,0.3900726435752768
1k-9.9k,199741,107,0.46827641796125985,0.538777717143701,0.4660887001395257,0.4704653560329068
