bucket,n,survival_rate,p_public,median_total_filings,median_T_filings
1-10,10,0.5,0.0,5.5,3.0
11-50,40,0.575,0.025,2.0,1.0
51-200,150,0.5266666666666666,0.02,2.0,1.0
201-1k,800,0.43,0.03625,3.0,1.0
1k-5k,4000,0.4085,0.025,2.0,2.0
5k+,12602,0.4246151404538962,0.01420409458816061,3.0,2.0
