year,ethnic,tier,weight_in_tier,share_within_ethnic
1901,White,MANUF,3.2817,0.8158967729103476
1901,White,OTHER,0.7404999999999999,0.18410322708965243
1901,Black,MANUF,0.4869,0.8177695666778636
1901,Black,OTHER,0.1085,0.18223043332213637
1901,API,MANUF,0.007899999999999999,0.08324552160168598
1901,API,OTHER,0.087,0.9167544783983139
1901,Hispanic,MANUF,0.0737,0.6146788990825688
1901,Hispanic,OTHER,0.046200000000000005,0.3853211009174312
1901,Two+,MANUF,0.0645,0.8237547892720306
1901,Two+,OTHER,0.0138,0.17624521072796934
1901,AIAN,MANUF,0.0371,0.9026763990267641
1901,AIAN,OTHER,0.004,0.09732360097323602
1902,White,FOOD_HYG,2.4589,0.5855918075732317
1902,White,MANUF,1.7401,0.4144081924267683
1902,Black,FOOD_HYG,0.371,0.6893348197696023
1902,Black,MANUF,0.1672,0.3106651802303976
1902,API,FOOD_HYG,0.0131,0.6822916666666666
1902,API,MANUF,0.0061,0.3177083333333333
1902,Hispanic,FOOD_HYG,0.0844,0.7263339070567987
1902,Hispanic,MANUF,0.0318,0.2736660929432014
1902,Two+,FOOD_HYG,0.0552,0.6251415628539072
1902,Two+,MANUF,0.0331,0.3748584371460929
1902,AIAN,FOOD_HYG,0.012199999999999999,0.4535315985130111
1902,AIAN,MANUF,0.014700000000000001,0.5464684014869889
1903,White,FOOD_HYG,1.5253,1.0
1903,Black,FOOD_HYG,0.36429999999999996,1.0
1903,API,FOOD_HYG,0.012900000000000002,1.0
1903,Hispanic,FOOD_HYG,0.0444,1.0
1903,Two+,FOOD_HYG,0.0435,1.0
1903,AIAN,FOOD_HYG,0.009899999999999999,1.0
1904,White,IP_HIGH,0.9559000000000001,0.3077294530470335
1904,White,MANUF,0.8806,0.2834883945530052
1904,White,OTHER,1.2698,0.40878215239996135
1904,Black,IP_HIGH,0.0077,0.013187189587258093
1904,Black,MANUF,0.067,0.1147456756293886
1904,Black,OTHER,0.5092,0.8720671347833533
1904,API,IP_HIGH,0.0036,0.24489795918367344
1904,API,MANUF,0.006600000000000001,0.4489795918367347
1904,API,OTHER,0.0045000000000000005,0.30612244897959184
1904,Hispanic,IP_HIGH,0.017,0.08188824662813103
1904,Hispanic,MANUF,0.023,0.11078998073217726
1904,Hispanic,OTHER,0.1676,0.8073217726396917
1904,Two+,IP_HIGH,0.0123,0.23163841807909602
1904,Two+,MANUF,0.0171,0.3220338983050847
1904,Two+,OTHER,0.023700000000000002,0.4463276836158192
1904,AIAN,IP_HIGH,0.0034000000000000002,0.22818791946308725
1904,AIAN,MANUF,0.005699999999999999,0.38255033557046975
1904,AIAN,OTHER,0.0058,0.38926174496644295
1905,White,FOOD_HYG,7.3337,0.17362719055262774
1905,White,MANUF,34.9045,0.8263728094473722
1905,Black,FOOD_HYG,0.43650000000000005,0.05253213305733404
1905,Black,MANUF,7.8727,0.9474678669426659
1905,API,FOOD_HYG,0.7468000000000001,0.5404544796642061
1905,API,MANUF,0.635,0.4595455203357939
1905,Hispanic,FOOD_HYG,0.21030000000000001,0.13959508795220713
1905,Hispanic,MANUF,1.2962,0.8604049120477929
1905,Two+,FOOD_HYG,0.1544,0.14655908875177978
1905,Two+,MANUF,0.8991,0.8534409112482202
1905,AIAN,FOOD_HYG,0.0353,0.12060129825760163
1905,AIAN,MANUF,0.2574,0.8793987017423984
1906,White,FOOD_HYG,9.4478,0.47789777182022813
1906,White,MANUF,10.3217,0.5221022281797718
1906,Black,FOOD_HYG,0.8042,0.29243636363636366
1906,Black,MANUF,1.9458,0.7075636363636364
1906,API,FOOD_HYG,0.9901000000000001,0.9434016198189614
1906,API,MANUF,0.0594,0.056598380181038584
1906,Hispanic,FOOD_HYG,0.2391,0.4355984696666059
1906,Hispanic,MANUF,0.3098,0.564401530333394
1906,Two+,FOOD_HYG,0.4073,0.6257489629743431
1906,Two+,MANUF,0.24359999999999998,0.37425103702565676
1906,AIAN,FOOD_HYG,0.0395,0.32113821138211385
1906,AIAN,MANUF,0.0835,0.6788617886178863
1907,White,FOOD_HYG,1.6904,0.1482820024737059
1907,White,MANUF,9.0336,0.7924280037544188
1907,White,OTHER,0.6759000000000001,0.059289993771875195
1907,Black,FOOD_HYG,0.1979,0.11060809300245919
1907,Black,MANUF,1.3296000000000001,0.7431254191817572
1907,Black,OTHER,0.26170000000000004,0.1462664878157836
1907,API,FOOD_HYG,0.014599999999999998,0.014878222765718943
1907,API,MANUF,0.9613,0.9796188729236728
1907,API,OTHER,0.0054,0.005502904310608377
1907,Hispanic,FOOD_HYG,0.049100000000000005,0.10704163941574013
1907,Hispanic,MANUF,0.3849,0.8391105297580117
1907,Hispanic,OTHER,0.024700000000000003,0.05384783082624809
1907,Two+,FOOD_HYG,0.0393,0.14886363636363636
1907,Two+,MANUF,0.2009,0.7609848484848485
