cls,mark,year,kl_vs_past,kl_vs_future,dkl
009,OPENAI,2016,1.606711586325916,1.5386589187260395,0.06805266759987649
009,INSTAGRAM,2011,1.7922797722180168,1.592455299561754,0.1998244726562628
009,ETHEREUM,2018,1.775176233151546,1.722661181013348,0.05251505213819785
009,KUBERNETES,2014,1.3793249536806507,1.4532349965514273,-0.07391004287077663
009,UBER,2010,2.323612302422293,2.1388135796074828,0.18479872281481047
009,PHOTOSHOP,2003,1.1061646133980227,1.1244067611342063,-0.0182421477361836
009,AIRPODS,2015,1.3297336284574295,1.1100906773842805,0.21964295107314902
009,KINDLE,2010,0.9221585434862629,0.8770930113591247,0.045065532127138264
009,IPOD,2001,2.335417214907695,2.270086893012314,0.0653303218953809
032,WHITE CLAW SELTZER WORKS,2016,0.20644862111482726,0.22824556124767886,-0.021796940132851605
032,ROCKSTAR,2002,0.45195378145249926,0.3436019613950078,0.10835182005749144
032,FIJI,2005,2.7506845204515686,2.4696957463734326,0.28098877407813605
032,KOMBUCHA,1997,1.4414137115809538,1.5034102469252493,-0.0619965353442955
032,POWERADE,1996,0.32677540565483676,0.6027696360196281,-0.2759942303647913
032,GATORADE,1996,0.6581864190434745,0.8532163922354095,-0.19502997319193494
032,RED BULL,1995,2.613622398594616,2.1991113396087236,0.41451105898589224
032,MONSTER ENERGY,2002,0.9836134888720551,0.9267253804931441,0.056888108378911006
032,CELSIUS,2004,2.278147305057243,2.318011466225463,-0.03986416116821978
