year,n_patents,n_filings,mean_dkl,mean_pros,mean_retr
1990,26,1,2.4951860382488213,7.154805704901451,4.659619666652629
1991,34,2,0.2793572023266151,5.225481976228862,4.9461247739022465
1992,48,8,-0.008119165797806027,5.2489719710380385,5.257091136835845
1993,69,20,0.10387923591253934,5.1610946855763435,5.057215449663805
1994,66,13,-0.07014465944232585,5.416553454084042,5.4866981135263675
1995,124,13,0.22023033876187076,5.011129307169451,4.790898968407581
1996,185,11,0.06167750593675853,5.13873795504331,5.077060449106551
1997,230,9,-0.04179376126936724,5.159222837834844,5.201016599104211
1998,261,18,-0.1779649628244865,4.836418098749462,5.014383061573949
1999,182,28,-0.044399717170833776,5.103010764703633,5.147410481874467
2000,126,24,-0.09702451416685438,5.143680600167309,5.2407051143341645
2001,109,15,0.07736616442303414,4.966852646562641,4.889486482139606
2002,96,32,-0.061189497407244,4.160621228376477,4.221810725783721
2003,100,28,0.024860547683382066,5.237537067185095,5.212676519501713
2004,122,37,-0.023788616648870813,4.9524518004562275,4.976240417105098
2005,103,29,0.10215458542096559,4.8084962338265225,4.706341648405557
2006,132,38,0.05998542264053636,5.121604763867394,5.061619341226858
2007,156,57,0.03663177595487563,4.675980783804586,4.63934900784971
2008,253,42,0.03984973320524143,4.74823820937863,4.708388476173389
2009,399,38,0.039865762441505616,5.0787414013302365,5.03887563888873
2010,722,120,0.0971516882661379,4.705756823944688,4.60860513567855
2011,805,69,0.016446073832407402,4.727431816514172,4.710985742681765
2012,1291,56,0.11912241651297403,4.784771750368996,4.665649333856022
2013,1958,74,-0.01132995220709461,4.785618685087885,4.796948637294979
2014,2202,70,0.020230094140359464,4.376129405118885,4.355899310978526
2015,2147,99,-0.01757213612799804,4.522658107830916,4.540230243958914
2016,2551,55,-0.039859595081672354,4.538886486303455,4.578746081385127
2017,2583,80,-0.03342433429197402,4.496738854771253,4.530163189063226
2018,2470,94,0.030007688028704623,4.604506973249837,4.574499285221132
2019,2819,98,0.04712314044415721,4.473974580908257,4.4268514404641
2020,3160,98,0.035936335024412035,4.331911266022019,4.295974930997608
2021,2984,81,-0.03876385041637403,4.393541124398514,4.432304974814888
2022,2818,50,-0.059037154774971665,4.4747911735460875,4.533828328321059
2023,2927,80,-0.023402155206955474,4.24231747206837,4.265719627275326
2024,3506,44,0.0029393406825089408,4.351613371256211,4.348674030573703
2025,2596,42,-0.05226064204991806,4.2030531943047915,4.255313836354709
2026,0,10,-0.2001356791919328,4.446990124810847,4.64712580400278
