cohort,brand,founded,n_clean_filings,mean_pros,mean_retr,mean_dkl,first_real_date,first_real_class,first_real_pros,first_real_retr,first_real_dkl,first_real_owner,first_real_gs
winner,Amazon,1994,75,4.750118654062131,4.674793798915622,0.07532485514650933,19941114,042,5.081432764989368,5.8750801689863765,-0.7936474039970083,"Amazon.com, Inc.",wholesale distributorships featuring books; retail book stores
winner,eBay,1995,286,4.638640320282132,4.602019530748818,0.03662078953331438,19971117,035,7.448694815300943,5.722945137837661,1.7257496774632823,EBAY INC.,"on-line trading services in which seller posts items to be auctioned and bidding is done electronically, and providing e"
winner,Etsy,2005,58,3.7202519752476872,3.7330274427883916,-0.012775467540704355,20050617,035,5.422655925369823,5.47598786820404,-0.05333194283421694,"ETSY, INC.",computerized online ordering featuring general merchandise and general consumer goods
winner,Shopify,2006,284,3.3996175247334355,3.3199992284193365,0.079618296314099,20060405,042,5.9792688674245795,5.884025215602987,0.09524365182159222,SHOPIFY INC.,"Design, creation, hosting and maintenance of internet sites for third parties"
winner,Wayfair,2002,689,4.343873527042863,4.354499918275053,-0.010626391232190002,20050209,040,5.967108192883947,6.229196849081575,-0.2620886561976281,WAYFAIR LLC,Manufacture of home furnishings and furniture to the order and specifications of retailers Design services for retailers
winner,Chewy,2011,235,4.859750584451941,4.7265583048629916,0.13319227958894952,20110103,044,4.80037906951612,4.99685261308822,-0.19647354357209945,"CHEWY, INC.","Providing on-line information via the Internet in the fields of animals and pets, relating to breeding, selection of the"
winner,Google,1998,2826,4.40084547731183,4.321331973716996,0.07951350359483467,19980220,035,4.56740566850932,4.232848768335052,0.33455690017426765,GOOGLE LLC,"Commercial information services, namely, advertisement management by providing reports, advertisement targeting, and man"
winner,Yahoo,1994,826,4.328715384683535,4.261183665077443,0.06753171960609183,19950525,009,5.922962840311968,5.859876962554052,0.0630858777579153,YAHOO INC.,"[ * computer software for use as a * screen saver ] [ demographic consultation services ] housewares, namely cups and mu"
winner,Netflix,1997,179,3.828082631871604,3.8124852530868223,0.015597378784781846,19971230,035,4.395439733526843,4.170392947521452,0.2250467860053913,"NETFLIX, INC.","Rental of pre-recorded music, pre-recorded videos, musical recordings, and computer games Retail store services and comp"
winner,Dropbox,2007,81,4.3033137178916965,4.283447217879881,0.019866500011815447,20090901,009,4.112992717454895,3.815318565801206,0.29767415165368893,"DROPBOX, INC.","Providing temporary use of non-downloadable computer software used to store and share data, documents, files, informatio"
winner,Facebook/Meta,2004,1063,3.6827036887507987,3.566695687987276,0.11600800076352247,20040615,036,4.282614867716956,4.123267615891091,0.1593472518258645,"META PLATFORMS, INC.","Financial services, namely, banking services; online banking services; [ trust services, namely, investment advice and m"
