[012 2004 ab  dup2/1own w7] Wheels and accessories therefore for land vehicles
[012 2013 ab  dup179/70own*COPY w3] Windshield wiper blades
[012 2013 ab  dup212/162own*COPY w1] Trailers
[012 2015 ab  dup2/1own w4] vehicle rear view mirrors
[012 2018 ab  dup1/1own w49] Anti-theft devices for vehicles; Automobile bodies; Automobile hoods; Bumpers for automobiles; Camping trailers; Handle bars for motorcycles; Kickstands; Lorries; Motor homes; Motorcycle chains; Motorcycle frames; Motorcycles; Pedals for motorcycles; Saddles for motorcycles; Shock absorbers for automobiles; Sports cars; Tilting-carts; Vehicle running boards; Waggons; Wheel rims for motorcycles
[013 2006 ab  dup703/197own*COPY w1] Ammunition
[013 2009 ab  dup1/1own w6] tripods, stands and mounts for firearms
[013 2013 ab  dup703/197own*COPY w1] Ammunition
[013 2015 ab  dup703/197own*COPY w1] Ammunition
[014 2002 ab  dup18746/10573own*COPY w1] Jewelry
[014 2007 ab  dup18746/10573own*COPY w1] Jewelry
[014 2007 ab  dup18746/10573own*COPY w1] Jewelry
[014 2015 ab  dup18746/10573own*COPY w1] Jewelry
[014 2016 ab  dup18746/10573own*COPY w1] Jewelry
[015 1997 ab  dup744/531own*COPY w2] musical instruments
[015 2006 ab  dup744/531own*COPY w2] Musical instruments
[015 2008 ab  dup39/28own*COPY w4] Mouthpieces for musical instruments
[015 2012 ab  dup724/396own*COPY w1] Guitars
[015 2014 ab  dup104/37own*COPY w4] Strings for musical instruments
[016 1997 ab  dup2/1own w4] memorabilia, namely, mounted photographs
[016 2000 ab  dup3/1own w3] Paper, namely, newsprint
[016 2000 ab  dup3/1own w8] gift items, namely, gift boxes for special occasions
[016 2009 ab  dup2411/1456own*COPY w2] Greeting cards
[016 2018 ab  dup43/41own*COPY w3] Paper party decorations
[017 1999 ab  dup1/1own w5] reinforced rubber sheeting for cables
[017 1999 ab  dup3/2own w6] POLYPROPYLENE FILM THAT ADHERES TO SURFACES
[017 2008 ab  dup109/76own*COPY w7] Adhesive tape for industrial and commercial use
[017 2012 ab  dup3/1own w6] Non-metal gaskets for locomotive applications
[017 2013 ab  dup2/1own w2] Ceiling insulation
[018 1998 ab  dup1/1own w5] back packs and book bags
[018 2001 ab  dup9/3own*COPY w3] Luggage and briefcases
[018 2011 ab  dup1/1own w7] Jewelry Handbags; tote bags; clutches; purses; wallets
[018 2011 ab  dup10/10own*COPY w2] Walking canes
[019 1995 ab  dup38/15own w3] clay roofing tiles
[019 1999 ab  dup3/3own*COPY w2] Vinyl Soffits
[019 2002 ab  dup2/1own w7] NON-METAL BUILDING MATERIALS, NAMELY, HARDBOARD DOORSKINS
[019 2007 ab  dup1/1own w12] Glass tiles, glass blocks for buildings, and other decorative glass for building
[019 2018 ab  dup3/1own w133] Building stone, including pottery stone; building materials, not of metal; refractory construction materials, not of metal; mosaics for building; coatings [building materials]; wall claddings, not of metal, for building; wall linings, not of metal, for building; wainscotting, not of metal; building panels, not of metal; tiles, not of metal, for building, including ceramic tiles for walls, floors a
[020 2018 ab  dup173/39own*COPY w4] Mattress toppers; Mattresses; Pillows
[020 2018 ab  dup5569/2688own*COPY w1] Furniture
